,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.91,1.0,0.92,0.92,0.91,0.96,0.71,,0.89,0.97,0.85,0.97,0.92,0.91,0.62,0.95,0.85
beast-mcmc.csv,0.77,0.59,0.68,0.81,0.6,0.74,0.58,0.82,0.68,0.57,0.81,0.64,0.83,0.73,0.73,0.62,
bigdata.csv,0.97,0.74,1.0,0.61,0.67,1.0,0.97,0.37,0.8,1.0,0.58,,0.5,0.76,0.75,0.67,0.65
codesmith.csv,0.93,0.69,0.9,0.8,0.84,0.9,0.84,0.99,0.64,0.94,0.75,0.74,0.71,0.96,0.85,,0.8
cuberok.csv,0.8,0.67,0.7,0.76,0.67,,0.69,0.64,0.79,0.74,0.77,0.55,0.47,0.96,0.79,0.94,0.56
exist.csv,0.97,0.73,0.65,0.97,0.98,0.94,1.0,0.88,,0.96,1.01,0.6,1.0,1.0,0.94,0.97,0.88
icescrum.csv,0.76,0.83,0.71,0.82,0.59,0.62,0.48,0.64,0.85,0.82,0.79,0.73,1.04,0.81,,0.91,0.41
jbasic.csv,0.83,0.67,0.76,0.84,0.83,0.61,,0.95,0.98,0.82,1.0,0.61,1.07,1.0,0.91,0.79,0.85
jrefactory.csv,,0.92,0.83,0.71,0.74,0.82,0.87,0.97,0.84,0.79,0.72,0.77,0.93,0.7,0.68,1.0,0.9
jsecurity.csv,0.82,,0.75,0.73,0.82,0.67,0.95,1.0,0.89,0.75,0.86,0.78,0.98,1.0,0.95,0.92,0.63
libopenmetaverse.csv,0.8,0.79,0.46,,0.62,0.6,0.88,0.63,0.85,0.78,0.82,0.9,0.95,0.8,0.63,0.74,0.69
mobicents.csv,0.75,0.6,0.52,0.97,,0.9,0.74,0.56,0.97,0.7,0.91,0.68,0.7,0.95,0.8,0.9,0.51
opendvr.csv,0.84,0.52,0.53,1.01,0.5,0.72,0.48,0.66,0.61,0.68,1.0,0.83,0.89,,0.49,0.89,0.47
power-architect.csv,0.95,0.59,0.69,0.94,0.87,0.97,0.75,0.92,0.99,1.0,,0.77,0.7,1.0,1.0,1.0,0.77
sidekar.csv,1.0,1.0,,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wheat.csv,0.93,0.61,0.82,0.91,0.67,0.66,0.91,0.61,0.8,,0.55,0.69,0.79,0.64,0.51,0.92,0.64
wsmt.csv,0.93,0.9,0.97,0.92,0.83,1.0,0.78,0.92,0.87,0.93,0.86,0.79,,1.0,1.0,0.82,0.86
