,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.16,0,0.14,0.15,0.16,0.08,0.42,,0.19,0.07,0.28,0.05,0.17,0.16,0.47,0.09,0.24
beast-mcmc.csv,0.58,0.36,0.55,0.31,0.54,0.42,0.55,0.28,0.6,0.6,0.33,0.55,0.37,0.33,0.49,0.54,
bigdata.csv,0.55,0.3,0.76,0.62,0.6,0.56,0.64,0.64,0.71,0.7,0.66,,0.65,0.38,0.46,0.77,0.41
codesmith.csv,0.16,0.28,0.66,0.44,0.46,0.43,0.48,0.08,0.55,0.61,0.62,0.45,0.59,0.35,0.32,,0.26
cuberok.csv,0.35,0.29,0.46,0.57,0.5,,0.44,0.43,0.68,0.45,0.59,0.71,0.75,0.46,0.34,0.24,0.48
exist.csv,0.72,0.37,0.77,0.65,0.67,0.57,0.63,0.44,,0.71,0.81,0.73,0.7,0.45,0.56,0.8,0.46
icescrum.csv,0.38,0.19,0.44,0.29,0.55,0.48,0.64,0.46,0.26,0.29,0.35,0.43,0.2,0.25,,0.17,0.62
jbasic.csv,0.61,0.36,0.8,0.65,0.67,0.58,,0.48,0.73,0.3,0.89,0.63,0.35,0.45,0.57,0.65,0.44
jrefactory.csv,,0.29,0.6,0.46,0.54,0.43,0.57,0.36,0.26,0.63,0.51,0.67,0.7,0.4,0.53,0.78,0.37
jsecurity.csv,0.3,,0.39,0.4,0.3,0.43,0.09,0,0.19,0.38,0.25,0.44,0.05,0,0.1,0.14,0.45
libopenmetaverse.csv,0.7,0.33,0.69,,0.67,0.49,0.6,0.43,0.26,0.65,0.32,0.89,0.48,0.27,0.49,0.4,0.5
mobicents.csv,0.52,0.39,0.64,0.67,,0.51,0.71,0.48,0.72,0.67,0.72,0.8,0.67,0.43,0.53,0.37,0.51
opendvr.csv,0.44,0.44,0.66,0.62,0.64,0.38,0.66,0.39,0.75,0.51,0.86,0.86,0.24,,0.58,0.21,0.53
power-architect.csv,0.63,0.42,0.7,0.66,0.65,0.56,0.59,0.46,0.73,0.7,,0.88,0.74,0.45,0.54,0.79,0.46
sidekar.csv,0,0,,0,0,0.55,0,0,0,0,0,0,0,0.45,0,0,0
wheat.csv,0.22,0.35,0.3,0.55,0.48,0.44,0.16,0.43,0.74,,0.74,0.56,0.33,0.43,0.56,0.76,0.39
wsmt.csv,0.13,0.13,0.06,0.14,0.32,0,0.34,0.12,0.23,0.13,0.29,0.39,,0,0,0.35,0.19
