,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,1.0,0.0,28.0,1.0,1.0,6.0,0.0,2.0,1.0,51.0,1.0
biopax.csv,2.0,0.0,81.0,0.0,3.0,9.0,0.0,6.0,0.0,68.0,1.0
crux-framework.csv,1.0,0.0,6.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
kml.csv,0.0,0.0,81.0,0.0,4.0,5.0,0.0,3.0,2.0,67.0,1.0
les-indemodables.csv,0.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,0.0,41.0,0.0
metacosm.csv,0.0,1.0,20.0,4.0,1.0,0.0,1.0,2.0,1.0,111.0,0.0
moviesandbox.csv,0.0,1.0,68.0,0.0,5.0,2.0,0.0,4.0,2.0,49.0,1.0
sigil.csv,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0,3.0
unflobtactical.csv,0.0,0.0,73.0,0.0,1.0,2.0,0.0,4.0,2.0,65.0,4.0
xtreemfs.csv,2.0,0.0,35.0,0.0,3.0,6.0,0.0,4.0,1.0,44.0,3.0
yale.csv,2.0,0.0,17.0,0.0,3.0,8.0,0.0,3.0,0.0,111.0,2.0
