,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.55,0.74,0.63,0.71,0.73,0.69,0.55,0.8,0.6,0.57,0.64
biopax.csv,0.0,0.09,0.0,0.17,0.0,0.0,0.09,0.0,0.83,0.0,0.0
crux-framework.csv,0.19,0.29,0.12,0.07,0.55,0.23,0.04,0.34,0.07,0.96,0.09
kml.csv,0.68,0.46,0.39,0.77,0.75,0.77,0.41,0.61,0.53,0.21,0.0
les-indemodables.csv,0.62,0.47,0.61,0.65,0.77,0.59,0.7,0.28,0.49,0.54,0.52
metacosm.csv,0.62,0.44,0.62,0.53,0.52,0.49,0.65,0.71,0.69,0.0,0.75
moviesandbox.csv,0.7,0.48,0.35,0.74,0.17,0.8,0.54,0.75,0.79,0.55,0.69
sigil.csv,0.74,0.57,0.54,0.73,0.04,0.86,0.67,0.15,0.4,0.0,0.61
unflobtactical.csv,0.75,0.58,0.48,0.71,0.07,0.82,0.09,0.69,0.69,0.36,0.49
xtreemfs.csv,0.5,0.0,0.56,0.71,0.13,0.67,0.33,0.84,0.75,0.66,0.55
yale.csv,0.43,0.44,0.51,0.35,0.35,0.47,0.41,0.31,0.46,0.0,0.37
