,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.8,0.39,0.62,0.46,0.36,0.68,0.79,0.43,0.75,0.79,0.67
biopax.csv,1.0,0.98,1.0,0.96,1.0,1.0,0.98,1.0,0.23,1.0,1.0
crux-framework.csv,0.87,0.78,0.9,0.94,0.74,0.81,0.98,0.72,0.96,0.16,0.93
kml.csv,0.66,0.85,0.89,0.48,0.36,0.59,0.88,0.76,0.8,0.95,1.0
les-indemodables.csv,0.56,0.61,0.58,0.44,0.41,0.47,0.44,0.83,0.58,0.77,0.58
metacosm.csv,0.5,0.62,0.62,0.56,0.54,0.56,0.56,0.58,0.37,1.04,0.34
moviesandbox.csv,0.48,0.57,0.75,0.37,0.87,0.42,0.8,0.45,0.32,0.76,0.52
sigil.csv,0.51,0.48,0.59,0.34,0.97,0.23,0.52,0.88,0.65,1.05,0.71
unflobtactical.csv,0.6,0.51,0.84,0.39,0.94,0.44,0.98,0.63,0.59,0.9,0.83
xtreemfs.csv,0.83,1.0,0.78,0.62,0.98,0.7,0.91,0.32,0.38,0.72,0.79
yale.csv,0.75,0.71,0.59,0.95,0.9,0.82,0.86,0.82,0.77,1.02,0.7
