,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.61,0.73,0.19,0.72,0.74,0.67,0.39,0.92,0.81,0.03,0.52
biopax.csv,0.56,0.52,0.15,0.58,0.48,0.58,0.36,0.84,0.95,0.03,0.47
crux-framework.csv,0.47,0.58,0.15,0.67,0.48,0.77,0.12,0.94,0.57,0.15,0.33
kml.csv,0.63,0.55,0.15,0.71,0.73,0.7,0.39,0.87,0.8,0.03,0.46
les-indemodables.csv,0.65,0.68,0.2,0.79,0.67,0.88,0.55,0.8,0.89,0.03,0.62
metacosm.csv,0.71,0.85,0.18,0.74,0.77,0.88,0.46,0.89,0.94,0.0,0.74
moviesandbox.csv,0.7,0.86,0.16,0.79,0.5,0.75,0.39,0.91,0.92,0.03,0.59
sigil.csv,0.69,0.88,0.21,0.83,1.0,0.87,0.48,0.97,1.0,0.0,0.5
unflobtactical.csv,0.67,0.73,0.13,0.78,0.67,0.75,0.37,0.88,0.84,0.03,0.42
xtreemfs.csv,0.6,0.52,0.16,0.67,0.47,0.66,0.39,0.94,0.9,0.04,0.49
yale.csv,0.53,0.53,0.24,0.5,0.49,0.53,0.28,0.79,0.75,0.0,0.56
