,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.69,0.8,0.64,0.5,0.19,0.63,0.85,0.9,0.59,0.47,0.71
google-gears.csv,0.64,0.53,0.48,0.32,0.14,0.26,0.7,0.9,0.45,0.37,0.74
grafx2.csv,0.66,0.84,0.56,0.5,0.13,0.32,0.71,0.8,0.54,0.54,0.75
kmess.csv,0.6,0.67,0.63,0.6,0.19,0.61,0.74,1.0,0.66,0.35,0.71
megameknet.csv,0.72,0.83,0.61,0.44,0.13,0.44,0.68,0.81,0.51,0.48,0.78
minig.csv,0.63,0.44,0.34,0.56,0.08,0.29,0.57,0.71,0.4,0.37,0.41
ns-3.csv,0.78,0.51,0.61,0.76,0.17,0.43,0.63,0.77,0.33,0.51,0.79
omseek.csv,0.78,1.0,0.73,0.4,0.31,0.57,0.84,0.96,0.61,0.48,0.83
quickfast.csv,0.68,0.56,0.57,0.47,0.1,0.28,0.62,0.78,0.45,0.42,0.83
sylpheed-claws.csv,0.66,0.53,0.69,0.43,0.11,0.26,0.63,0.76,0.46,0.37,0.59
xamj.csv,0.66,0.84,0.61,0.65,0.11,0.23,0.66,0.77,0.58,0.58,0.75
