,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.15,0.13,0.29,0.09,0.23,0.08,0.15,0.11,0.39,0.26,0.12
google-gears.csv,0.55,0.76,0.86,0.9,0.63,0.64,0.51,0.24,0.73,0.33,0.34
grafx2.csv,0.36,0.16,0.27,0.19,0.68,0.45,0.42,0.32,0.38,0.2,0.22
kmess.csv,0.25,0.03,0.25,0.03,0.27,0.05,0.45,0.0,0.23,0.3,0.16
megameknet.csv,0.31,0.16,0.24,0.24,0.63,0.25,0.49,0.46,0.59,0.25,0.25
minig.csv,0.92,0.92,0.63,0.32,0.88,0.42,0.89,0.89,0.13,0.61,0.72
ns-3.csv,0.39,1.0,0.41,0.08,0.2,0.21,0.8,0.41,0.14,0.16,0.28
omseek.csv,0.07,0.0,0.05,0.33,0.2,0.07,0.09,0.03,0.27,0.25,0.03
quickfast.csv,0.73,0.76,0.5,0.51,0.89,0.6,0.91,0.49,0.17,0.37,0.22
sylpheed-claws.csv,1.0,1.0,0.28,0.68,1.0,0.74,1.0,1.0,1.0,0.62,1.0
xamj.csv,0.83,0.13,0.39,0.14,0.78,0.93,0.6,0.62,0.21,0.2,0.34
