,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.45,0.47,0.7,0.06,0.39,0.6,0.59,0.11,0.09,0.47,0.55,0.47,0.75
avisynth2.csv,0.1,0.04,0.0,0.29,0.15,0.08,0.23,0.0,0.75,0.06,0.0,0.0,0.09
beast-mcmc.csv,0.62,0.61,0.63,0.05,0.5,0.72,0.77,0.6,0.12,0.47,0.42,0.43,0.54
dataobjectsdotnet.csv,0.46,0.64,0.6,0.0,0.3,0.69,0.71,0.53,0.11,0.58,0.58,0.39,0.36
exist.csv,0.47,0.49,0.52,0.09,0.34,0.79,0.77,0.53,0.12,0.52,0.56,0.45,0.8
foursquared.csv,0.27,0.16,0.31,0.0,0.21,0.29,0.42,0.74,0.3,0.13,0.13,0.26,0.09
jaxlib.csv,0.31,0.36,0.5,0.67,0.34,0.25,0.71,0.57,0.13,0.34,0.5,0.31,0.75
jrefactory.csv,0.28,0.7,0.44,0.11,0.42,0.08,0.65,0.44,0.0,0.44,0.38,0.4,0.75
nodal.csv,0.24,0.58,0.61,0.05,0.65,0.69,0.78,0.27,0.0,0.37,0.37,0.42,0.44
opendvr.csv,0.53,0.41,0.57,0.08,0.43,0.76,0.87,0.51,0.09,0.46,0.53,0.55,0.59
pokenetonline.csv,0.46,0.6,0.72,0.08,0.44,0.72,0.85,0.59,0.09,0.51,0.61,0.45,0.86
simplewebservices.csv,0.43,0.41,0.7,0.08,0.43,0.69,0.83,0.51,0.08,0.51,0.63,0.44,0.86
uface.csv,0.53,0.54,0.5,0.04,0.32,0.74,0.78,0.56,0.09,0.52,0.58,0.38,0.94
