,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.51,0.47,0.6,0.38,0.62,0.41,0.61,0.91,0.4,0.5,0.35,0.48,0.45
avisynth2.csv,0.91,0.83,0.0,0.8,0.75,0.92,0.9,0.0,0.8,0.9,0.5,0.0,0.88
beast-mcmc.csv,0.52,0.39,0.46,0.31,0.59,0.35,0.37,0.34,0.45,0.48,0.69,0.46,0.56
dataobjectsdotnet.csv,0.61,0.5,0.48,0.69,0.88,0.42,0.5,0.47,0.45,0.6,0.45,0.48,0.82
exist.csv,0.42,0.45,0.46,0.31,0.45,0.42,0.38,0.32,0.42,0.43,0.35,0.44,0.4
foursquared.csv,0.96,0.9,0.76,0.86,0.8,0.97,0.76,0.47,0.71,0.95,0.95,0.56,0.88
jaxlib.csv,0.79,0.63,0.56,0.75,0.39,0.97,0.38,0.42,0.92,0.83,0.46,0.5,0.46
jrefactory.csv,0.45,0.5,0.5,0.65,0.33,0.83,0.42,0.36,0.5,0.67,0.54,0.47,0.45
nodal.csv,0.9,0.43,0.72,0.38,0.65,0.37,0.37,0.85,0.8,0.6,0.66,0.66,0.62
opendvr.csv,0.37,0.4,0.8,0.29,0.38,0.38,0.36,0.39,0.38,0.42,0.38,0.66,0.49
pokenetonline.csv,0.34,0.4,0.45,0.3,0.37,0.34,0.38,0.32,0.4,0.41,0.33,0.45,0.38
simplewebservices.csv,0.36,0.56,0.46,0.3,0.37,0.43,0.33,0.31,0.44,0.4,0.43,0.43,0.41
uface.csv,0.43,0.42,0.48,0.28,0.45,0.34,0.37,0.31,0.4,0.4,0.32,0.5,0.38
