,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.47,0.96,0.62,0.77
img-browse-sort.csv,0.51,0.52,0.51,0.56
pcsx2.csv,0.57,0.47,0.5,0.46
xstore.csv,0.43,0.38,0.42,0.38
