,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.95,0.84,0.96,0.94,0.53,0.84,1.0,0.5,0.79,0.62,0.91,0.85,0.67
codepurge.csv,0.05,0.59,0.06,0.8,0.11,0.32,0.7,0.41,0.44,0.14,0.23,0.45,0.39
crisscross.csv,1.0,0.24,0.87,1.0,0.93,0.84,1.0,0.92,0.74,0.82,0.39,0.96,1.0
elvishrayrenderer.csv,0.02,0.36,0.2,1.0,0.04,0.46,1.0,0.14,0.61,0.17,0.19,0.35,0.28
gwanted.csv,0.02,0.18,0.54,0.06,0.2,0.14,0.1,0.18,0.07,0.18,0.16,0.21,0.39
jitterbit.csv,0.0,0.5,0.55,0.43,0.2,0.05,0.63,0.2,0.71,0.39,0.3,0.52,0.39
ldview.csv,0.48,0.65,0.25,0.77,0.44,0.41,0.89,0.21,0.42,0.29,0.15,0.41,0.5
libopenmetaverse.csv,1.0,0.99,0.97,0.31,1.0,0.78,0.67,0.93,0.94,1.0,0.84,0.96,0.72
mb-unit.csv,0.07,0.33,0.42,0.69,0.47,0.03,0.98,0.35,0.74,0.39,0.12,0.27,0.83
mvdsv.csv,0.3,0.0,0.02,0.14,0.16,0.03,0.03,0.05,0.03,0.18,0.02,0.01,0.06
nova.csv,0.2,0.59,0.53,0.57,0.67,0.65,0.6,0.77,0.44,0.34,0.7,0.66,0.61
olex2.csv,0.41,0.39,0.54,0.06,0.29,0.03,0.32,0.18,0.39,0.34,0.21,0.21,0.33
tolven.csv,0.32,0.12,0.32,0.37,0.09,0.08,0.41,0.11,0.22,0.25,0.26,0.37,0.33
