,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.47,0.55,0.44,0.37,0.57,0.53,0.38,0.66,0.43,0.66,0.45,0.47,0.5
codepurge.csv,0.5,0.47,0.74,0.38,0.88,0.57,0.34,0.49,0.32,0.77,0.61,0.49,0.31
crisscross.csv,0.42,0.48,0.46,0.35,0.44,0.49,0.38,0.4,0.43,0.49,0.62,0.34,0.37
elvishrayrenderer.csv,0.5,0.76,0.53,0.38,0.8,0.78,0.38,0.99,0.33,0.96,0.97,0.79,0.43
gwanted.csv,0.5,0.45,0.56,0.89,0.79,0.55,0.8,0.63,0.95,0.71,0.58,0.45,0.38
jitterbit.csv,0.0,0.61,0.54,0.5,0.91,0.89,0.43,0.63,0.43,0.59,0.73,0.49,0.44
ldview.csv,0.44,0.46,0.52,0.37,0.53,0.58,0.34,0.61,0.36,0.54,0.96,0.42,0.36
libopenmetaverse.csv,0.42,0.45,0.42,0.52,0.39,0.49,0.31,0.4,0.36,0.4,0.44,0.34,0.35
mb-unit.csv,0.67,0.71,0.46,0.41,0.63,0.88,0.38,0.57,0.38,0.5,0.96,0.54,0.38
mvdsv.csv,0.69,0.0,0.97,0.75,0.93,0.71,0.88,0.98,0.75,0.96,0.67,0.8,0.75
nova.csv,0.55,0.63,0.58,0.53,0.44,0.68,0.53,0.44,0.54,0.54,0.55,0.45,0.53
olex2.csv,0.52,0.61,0.49,0.9,0.77,0.0,0.46,0.78,0.53,0.62,0.83,0.48,0.5
tolven.csv,0.59,0.8,0.51,0.54,0.9,0.8,0.47,0.78,0.45,0.61,0.71,0.48,0.53
