,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,1.0,0.63,0.12,0.54,0.8,0.38,0.57,0.07,0.0,0.33,0.0,1.0,0.08,0.33,0.67
chaperon.csv,0.97,0.48,0.07,0.3,1.0,0.27,0.42,0.0,0.44,0.41,0.02,0.99,0.04,0.11,0.45
co-ode-owl-plugins.csv,0.94,0.44,0.57,0.33,0.84,0.4,0.45,0.06,0.0,0.42,0.02,1.0,0.07,0.32,1.0
e-bio-flow.csv,1.0,0.46,0.29,0.36,0.81,0.6,0.58,0.08,0.0,0.33,0.02,1.0,0.08,0.38,0.4
free-evolution.csv,0.97,0.47,0.11,0.26,0.81,0.41,0.43,0.04,0.21,0.32,0.01,1.0,0.0,0.36,0.53
jaxlib.csv,1.0,0.36,0.38,0.25,0.84,0.32,0.62,0.5,0.03,0.25,0.0,1.0,0.04,0.33,0.5
jmonkeyengine.csv,0.84,0.36,0.21,0.5,0.84,0.38,0.44,0.17,0.06,0.28,0.0,0.99,0.06,0.22,0.43
jmule.csv,0.89,0.49,0.11,0.28,0.79,0.41,0.46,0.04,0.03,0.3,0.02,1.0,0.07,0.28,0.84
kaffeine.csv,0.98,0.49,0.12,0.31,0.78,0.4,0.45,0.04,0.1,0.3,0.02,1.0,0.07,0.28,0.56
nodal.csv,0.82,0.56,0.11,0.26,0.81,0.42,0.43,0.07,0.09,0.58,0.0,1.0,0.15,0.22,0.56
ogrehg.csv,1.0,0.47,0.22,0.31,0.84,0.38,0.61,0.03,0.08,0.2,0.0,0.99,0.1,0.34,0.33
onotoa.csv,1.0,0.44,0.54,0.3,0.87,0.35,0.54,0.07,0.0,0.71,0.02,1.0,0.11,0.32,0.0
papertoolkit.csv,1.0,0.53,0.18,0.3,0.86,0.29,0.49,0.06,0.0,0.27,0.02,1.0,0.21,0.33,0.47
