,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.28,0.0,0.15,0.19,1.0,0.14,0.5,0.42,0.25,0.21
autoopencas.csv,0.31,0.38,0.17,0.35,0.14,0.2,0.98,0.11,0.11,0.36
gogoego.csv,0.35,0.26,0.93,0.24,0.15,0.21,0.34,0.43,0.43,0.27
jam-daq.csv,0.41,0.43,0.35,0.34,0.28,0.31,0.13,0.26,0.99,0.36
jhotdraw.csv,0.5,0.27,0.26,0.29,0.34,0.93,0.26,0.11,0.31,0.26
pokeglobal.csv,1.0,0.49,0.39,0.36,0.68,0.35,0.4,0.56,0.65,0.34
robocode.csv,0.61,0.98,0.34,0.38,0.09,0.25,0.33,0.37,0.51,0.36
springside.csv,0.68,0.38,0.41,0.42,0.71,0.36,0.41,0.96,0.62,0.42
trinitycore.csv,0.38,0.4,0.34,0.81,0.24,0.18,0.07,0.12,0.53,0.94
uwom-server.csv,0.62,0.42,0.33,0.97,0.3,0.34,0.12,0.22,0.66,0.93
