,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.89,0.67,0.97,0.98,0.7,0.98,0.43,0.96,0.94,0.98
autoopencas.csv,0.94,0.69,0.99,0.74,0.91,0.93,0.88,0.96,0.9,0.72
gogoego.csv,0.68,0.88,0.84,0.86,0.75,0.92,0.66,0.76,0.8,0.9
jam-daq.csv,0.67,0.63,0.6,0.65,0.65,0.46,0.62,0.95,0.52,0.67
jhotdraw.csv,0.61,0.86,0.89,0.7,0.69,0.98,0.97,0.98,0.92,0.75
pokeglobal.csv,0.49,0.4,0.38,0.49,0.6,0.36,0.37,0.49,0.37,0.49
robocode.csv,0.46,0.55,0.5,0.51,0.54,0.57,0.5,0.66,0.62,0.51
springside.csv,0.44,0.45,0.45,0.47,0.44,0.38,0.46,0.57,0.39,0.47
trinitycore.csv,0.61,0.74,0.84,0.97,0.72,0.98,0.9,0.95,0.71,0.88
uwom-server.csv,0.52,0.62,0.58,0.83,0.67,0.65,0.96,0.96,0.52,0.84
