,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.17,0.0,0.11,0.2,1.0,0.13,0.84,0.31,0.18,0.22
autoopencas.csv,0.22,0.43,0.17,0.48,0.09,0.27,0.95,0.08,0.07,0.51
gogoego.csv,0.27,0.17,0.88,0.21,0.09,0.21,0.43,0.31,0.31,0.24
jam-daq.csv,0.29,0.39,0.41,0.38,0.21,0.6,0.16,0.18,0.98,0.38
jhotdraw.csv,0.44,0.17,0.25,0.34,0.3,0.89,0.23,0.1,0.2,0.27
pokeglobal.csv,1.0,0.57,0.75,0.64,0.7,0.92,0.86,0.63,0.91,0.6
robocode.csv,0.51,0.96,0.55,0.7,0.06,0.4,0.48,0.35,0.42,0.69
springside.csv,0.63,0.43,0.69,0.75,0.97,0.87,0.84,0.96,0.78,0.76
trinitycore.csv,0.32,0.43,0.34,0.7,0.18,0.16,0.05,0.08,0.51,0.89
uwom-server.csv,0.68,0.48,0.46,0.95,0.24,0.55,0.09,0.16,0.76,0.89
