,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.78,0.0,0.26,0.19,1.0,0.15,0.36,0.65,0.44,0.21
autoopencas.csv,0.5,0.34,0.18,0.27,0.27,0.16,1.0,0.15,0.3,0.28
gogoego.csv,0.5,0.5,0.99,0.27,0.38,0.21,0.28,0.71,0.7,0.32
jam-daq.csv,0.67,0.47,0.3,0.32,0.41,0.21,0.11,0.47,1.0,0.33
jhotdraw.csv,0.58,0.57,0.28,0.26,0.38,0.98,0.31,0.12,0.69,0.25
pokeglobal.csv,1.0,0.43,0.27,0.25,0.66,0.21,0.26,0.51,0.51,0.24
robocode.csv,0.75,1.0,0.25,0.26,0.15,0.18,0.26,0.39,0.66,0.25
springside.csv,0.72,0.34,0.3,0.29,0.56,0.22,0.27,0.96,0.52,0.29
trinitycore.csv,0.46,0.37,0.34,0.98,0.33,0.2,0.2,0.2,0.56,1.0
uwom-server.csv,0.56,0.38,0.26,1.0,0.38,0.24,0.17,0.32,0.59,0.98
