,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.64,0.59,0.5,0.68,0.96,0.94,0.6,0.88,0.93,0.74,0.49,0.57,0.59,0.54,0.48,0.67,0.98,0.45
archive-crawler.csv,0.59,0.93,0.46,0.85,0.69,0.79,0.5,0.77,0.62,0.65,0.45,0.49,0.63,0.38,0.63,0.55,0.99,0.46
customwars.csv,0.62,0.34,0.5,0.3,0.93,0.46,0.56,0.48,0.59,0.6,0.5,0.4,0.5,0.28,0.69,0.44,0.57,0.62
gbif-providertoolkit.csv,0.6,0.69,0.49,0.95,0.51,0.59,0.65,0.55,0.61,0.49,0.46,0.57,0.75,0.91,0.51,0.55,0.98,0.5
gss.csv,0.36,0.33,0.36,0.29,0.45,0.32,0.41,0.32,0.37,0.39,0.32,0.33,0.44,0.27,0.41,0.45,0.32,0.38
heekscad.csv,0.36,0.42,0.39,0.37,0.44,0.38,0.47,0.39,0.57,0.41,0.34,0.44,0.42,0.39,0.43,0.39,0.35,0.75
ikvm.csv,0.62,0.48,0.52,0.46,0.53,0.39,0.59,0.73,0.45,0.61,0.52,0.37,0.68,0.58,0.74,0.49,0.8,0.36
jaxen.csv,0.52,0.41,0.5,0.36,0.56,0.39,0.55,0.51,0.85,0.52,0.36,0.39,0.71,0.31,0.53,0.5,0.66,0.37
jcae.csv,0.47,0.89,0.64,0.65,0.71,0.75,0.67,0.8,0.64,0.46,0.5,0.43,0.57,0.53,0.6,0.5,0.94,0.43
levent.csv,0.57,0.0,0.0,0.57,0.0,0.34,0.45,0.4,0.38,0.44,0.33,0.73,0.5,0.31,0.43,0.0,0.5,0.36
nicepress.csv,0.49,0.38,0.73,0.88,0.59,0.56,0.53,0.46,0.52,0.55,0.51,0.55,0.59,0.37,0.48,0.48,0.5,0.71
pnotepad.csv,0.38,0.36,0.34,0.3,0.48,0.34,0.43,0.39,0.39,0.44,0.32,0.38,0.5,0.29,0.41,0.38,0.33,0.39
qcad2.csv,0.65,0.42,0.44,0.41,0.74,0.61,0.49,0.55,0.69,0.73,0.39,0.42,0.54,0.33,0.45,0.71,0.56,0.38
qedo.csv,0.94,0.89,0.57,0.41,0.76,0.55,0.98,0.77,0.76,0.8,0.86,0.93,0.93,0.71,0.95,0.56,0.74,0.86
quarkplusplus.csv,0.61,0.93,0.57,0.39,0.59,0.94,0.53,0.91,0.46,0.56,0.55,0.54,0.5,0.55,0.5,0.56,0.59,0.64
sigil.csv,0.44,0.44,0.48,0.62,0.71,0.61,0.43,0.55,0.51,0.54,0.38,0.45,0.54,0.41,0.47,0.56,0.51,0.39
xcsoar.csv,0.36,0.37,0.47,0.35,0.77,0.41,0.44,0.48,0.52,0.46,0.34,0.34,0.5,0.34,0.41,0.6,0.38,0.5
xuggle.csv,0.44,0.36,0.54,0.3,0.66,0.4,0.65,0.52,0.58,0.46,0.5,0.42,0.54,0.3,0.46,0.46,0.48,0.48
