,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,97.5,84.5,93.5,107.5,97.5,99.0,384.5,95.5,195.0,98.5,80.5
arsenal-1.csv,98.5,96.5,102.0,73.5,0.0,98.5,454.5,99.0,95.5,98.5,96.5
barracudamvc.csv,191.0,195.0,98.5,196.0,97.5,99.0,376.0,99.0,292.5,97.5,293.5
cascading.csv,99.0,195.0,93.5,196.0,97.5,99.0,376.0,96.5,293.5,97.5,196.0
emisview.csv,97.5,57.5,96.5,576.5,97.5,99.0,188.0,97.5,96.5,132.0,175.0
jitterbit.csv,99.0,195.0,93.5,196.0,94.5,99.0,376.0,98.5,293.5,98.5,294.5
jppf-project.csv,98.5,195.0,96.5,1571.5,95.5,99.0,186.0,99.0,96.5,186.0,97.5
mevenide.csv,99.0,187.0,96.5,73.0,62.5,99.0,294.0,98.5,96.5,98.5,92.5
mycila.csv,99.0,195.0,93.5,196.0,94.5,98.5,266.5,99.0,292.5,97.5,195.0
ontopia.csv,97.5,187.0,89.5,97.5,97.5,99.0,449.5,99.0,95.5,98.5,180.0
trackit.csv,81.5,87.5,89.5,1138.0,95.5,1299.5,271.5,70.5,146.0,84.5,187.0
