,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.55,0.77,0.73,0.83,0.78,0.73,0.16,0.12,0.07,0.15,0.82,1.0
emulemorph.csv,0.02,0.03,0.0,0.83,0.0,0.04,0.16,0.01,0.07,0.26,0.09,0.11
fulguro.csv,0.79,0.36,0.4,1.0,0.28,0.35,0.71,0.85,0.35,0.51,0.55,0.47
fw4spl.csv,0.26,0.43,0.56,0.0,0.61,0.15,0.55,0.01,0.61,0.16,0.45,0.58
gnome-jabber.csv,0.45,0.71,0.6,1.0,0.5,0.27,0.48,0.6,0.7,0.36,0.36,0.74
ipfilter.csv,0.74,0.65,0.42,1.0,0.56,0.46,0.42,0.99,0.93,0.85,0.82,0.53
ipfire-wall.csv,0.52,0.25,0.29,0.5,0.89,0.31,0.81,0.17,0.54,0.55,0.55,0.47
libmesh.csv,0.4,0.59,0.56,0.33,0.17,0.69,0.65,0.02,0.09,0.48,0.45,0.32
rockbox.csv,0.12,0.26,0.58,0.33,0.61,0.15,0.84,0.17,0.0,0.06,0.64,0.79
soar.csv,0.88,1.0,1.0,1.0,1.0,1.0,0.65,1.0,1.0,0.89,1.0,1.0
tencompetence.csv,0.4,0.05,0.1,0.5,0.39,0.69,0.68,0.38,0.13,0.8,0.27,0.0
xbrlapi.csv,0.69,0.05,0.33,0.83,0.5,0.23,0.87,0.0,0.26,0.25,0.55,0.37
