,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.57,0.41,0.51,0.8,0.86,0.61,0.04,0.2,0.05,0.28,0.99,0.56
emulemorph.csv,0.0,0.0,0.0,0.3,0.03,0.0,0.04,0.0,0.0,0.14,0.15,0.0
fulguro.csv,0.68,0.51,0.48,0.8,0.32,0.43,0.4,0.8,0.05,0.4,0.25,0.41
fw4spl.csv,0.2,0.31,0.25,0.16,0.51,0.24,0.76,0.0,0.68,0.32,0.49,0.5
gnome-jabber.csv,0.42,0.59,0.35,0.48,0.49,0.39,0.44,0.2,0.42,0.52,0.39,0.5
ipfilter.csv,0.65,0.74,0.48,0.79,0.38,0.65,0.48,1.0,0.11,0.47,0.62,0.5
ipfire-wall.csv,0.55,0.13,0.24,0.46,0.3,0.46,0.92,0.0,0.16,0.4,0.32,0.25
libmesh.csv,0.45,0.67,0.67,0.47,0.59,0.33,0.56,0.0,0.11,0.53,0.61,0.69
rockbox.csv,0.1,0.21,0.39,0.12,0.32,0.35,0.96,0.0,0.11,0.32,0.52,0.28
soar.csv,0.92,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.89,1.0,1.0
tencompetence.csv,0.25,0.15,0.39,0.49,0.16,0.67,0.56,0.6,0.0,0.28,0.13,0.16
xbrlapi.csv,0.38,0.03,0.22,0.45,0.19,0.3,0.84,0.0,0.0,0.3,0.3,0.03
