,id,count_recall,count_precision,count_pf,cdom_score,bellwether
57,2,1,1,2,1,logicmail.csv
52,3,1,5,9,8,jatlas.csv
50,4,2,4,9,11,beast-mcmc.csv
58,5,1,1,2,1,azureus.csv
24,6,2,6,9,12,exist.csv
19,7,1,4,11,11,jmoney.csv
28,8,1,5,12,11,sblim.csv
17,9,3,4,5,7,gephex.csv
18,11,1,1,1,0,atunes.csv
53,12,1,2,3,3,columba.csv
59,14,1,4,5,4,bdbbasic.csv
51,15,1,2,3,2,unflobtactical.csv
21,16,1,2,3,2,jnode.csv
26,17,1,3,6,5,arianne.csv
16,18,3,6,10,13,pi-qmc.csv
27,19,1,3,4,3,quarkplusplus.csv
15,20,1,7,11,11,openmeetings.csv
29,21,2,5,10,9,ng4j.csv
60,22,3,5,9,11,les-indemodables.csv
49,23,1,4,18,18,httpcontentparser.csv
25,28,1,3,5,4,h2database.csv
20,29,1,5,10,9,lamp.csv
39,30,1,2,3,2,bacnet.csv
34,31,2,7,11,15,projectfactory.csv
6,32,1,12,19,17,retromenu.csv
14,33,1,5,5,8,galaxium.csv
7,35,1,9,13,12,gbif-providertoolkit.csv
33,36,1,4,8,9,upp-mirror.csv
40,37,1,3,11,12,vapor.csv
32,38,2,11,20,19,novembre.csv
41,39,4,6,9,10,moast.csv
55,40,1,7,13,11,owlapi.csv
46,41,2,4,9,9,qgo.csv
22,42,2,2,5,7,geochat.csv
31,43,1,6,12,12,projecteqemu.csv
30,44,1,3,7,6,img-browse-sort.csv
23,45,1,7,14,13,bulmages.csv
45,46,1,6,9,9,liferea.csv
56,47,1,3,8,7,rocrail.csv
47,48,1,3,6,5,zoolib.csv
54,49,1,3,7,6,netatalk.csv
3,50,1,5,13,14,ossbuild.csv
10,51,2,10,19,18,factor.csv
38,53,1,1,1,0,xcf.csv
37,54,1,5,10,8,jcl.csv
42,55,5,4,6,13,pfaedit.csv
9,56,3,2,2,2,x4x.csv
5,57,1,9,20,18,gtad.csv
11,58,4,3,6,10,vxl.csv
1,59,1,1,1,1,mpqc.csv
13,60,1,9,19,17,opennms.csv
0,61,1,4,10,9,linuxsh.csv
36,62,1,1,1,0,silvertree.csv
43,63,1,10,19,19,psrchive.csv
44,64,1,4,10,9,graphmak.csv
35,65,3,4,5,6,java-gnome.csv
2,66,1,6,14,13,konversation.csv
12,67,1,7,10,10,alembik.csv
4,68,1,9,19,19,zildo.csv
8,69,2,7,8,13,kolmafia.csv
48,70,3,2,5,5,proftp.csv
