,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.76,0.53,0.68,0.78,0.62,0.82,0.95,0.91,0.76,0.64,0.73,0.38,0.53,0.87,0.98,0.1,0.98,0.52,0.42,0.66
arcallians.csv,0.47,0.5,0.32,0.26,0.28,0.99,0.9,0.26,0.55,0.19,0.1,0.29,0.57,0.57,0.32,0.55,0.85,0.32,0.51,0.07
arianne.csv,0.26,0.92,1.0,0.87,1.0,0.61,0.95,1.0,0.73,0.94,1.0,1.0,0.97,0.94,0.99,0.7,0.98,0.78,0.83,0.69
aztec.csv,0.22,0.48,0.09,0.06,0.42,0.2,0.39,0.44,0.34,0.42,0.28,0.29,0.09,0.28,0.81,0.2,0.39,0.27,0.29,0.1
biopax.csv,0.98,0.86,1.0,0.96,0.98,1.0,0.98,1.0,1.0,0.83,0.93,0.76,1.0,0.99,1.0,0.0,1.0,0.7,1.0,1.0
bl-toolkit.csv,0.67,0.94,0.18,0.64,1.0,0.98,0.47,1.0,0.75,1.0,1.0,1.0,0.82,0.66,1.0,0.7,0.46,0.45,0.98,0.86
clamav.csv,0.45,0.35,0.23,0.53,0.68,0.68,0.48,0.65,0.36,0.17,0.55,0.43,0.35,0.57,0.64,0.15,0.61,0.29,0.36,0.31
crux-framework.csv,0.25,0.31,0.09,0.27,0.48,0.93,0.01,0.42,0.13,0.56,0.83,0.72,0.14,0.3,0.88,0.15,0.11,0.12,0.25,0.1
gnupdate.csv,0.42,0.72,0.09,0.29,0.7,0.99,0.45,0.1,0.76,0.42,0.17,0.35,0.72,0.48,0.17,0.4,0.61,0.38,0.61,1.0
jmule.csv,0.44,0.66,0.32,0.22,0.5,0.17,0.91,0.99,0.78,0.28,0.45,0.43,0.52,0.57,1.0,0.15,0.85,0.75,0.27,0.14
mbse.csv,0.47,0.52,0.09,0.61,0.75,0.87,0.33,0.27,0.72,0.67,0.5,0.62,0.66,0.42,0.49,0.25,0.42,0.51,0.39,0.72
mplayer-ce.csv,0.7,0.6,0.73,0.82,0.85,0.88,0.8,0.35,0.88,0.08,0.21,0.53,0.46,0.8,0.33,0.8,0.98,0.95,0.71,0.59
ng4j.csv,0.29,0.36,0.23,0.23,0.32,0.07,0.52,0.25,0.57,0.14,0.3,0.34,0.5,0.42,0.56,0.05,0.51,0.46,0.24,0.1
ns-3-dev-def-routing.csv,0.38,0.27,0.64,0.21,0.45,0.28,0.57,0.98,0.49,0.44,0.62,0.65,0.53,0.37,0.92,0.3,0.69,0.64,0.44,0.0
openxava.csv,0.35,0.32,0.14,0.31,0.08,0.55,0.35,0.3,0.27,0.53,0.49,0.66,0.26,0.2,0.37,0.15,0.37,0.12,0.37,0.69
phonon-vlc-mplayer.csv,0.11,0.19,0.73,0.18,0.1,0.02,0.97,1.0,0.12,0.11,0.45,0.46,0.34,0.42,0.93,0.0,0.44,0.31,0.12,0.0
qgis.csv,0.36,0.28,0.5,0.35,0.15,0.06,0.95,0.0,0.51,0.06,0.0,0.0,0.58,0.44,0.0,0.2,0.52,0.53,0.31,0.0
vars-redux.csv,0.59,0.55,1.0,0.64,0.28,0.41,0.56,1.0,0.33,0.75,1.0,0.95,0.59,0.69,1.0,0.1,0.61,0.35,0.53,0.41
xamj.csv,0.83,0.78,0.86,0.64,0.55,0.78,0.45,0.93,0.69,0.69,0.48,0.67,0.46,0.76,0.29,0.4,0.68,0.19,0.97,0.97
yafdotnet.csv,0.61,0.36,0.18,0.43,0.55,0.59,0.44,0.4,0.85,0.06,0.19,0.19,0.24,0.5,0.29,0.2,0.73,0.28,0.37,0.83
