,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.39,0.42,0.47,0.47,0.47,0.46,0.49,0.38,0.38,0.41,0.47,0.5,0.44,0.4,0.37,0.6,0.43,0.5,0.57,0.38
arcallians.csv,0.52,0.47,0.56,0.75,0.58,0.43,0.53,0.66,0.41,0.69,0.89,0.64,0.43,0.48,0.65,0.46,0.44,0.56,0.59,0.83
arianne.csv,0.48,0.42,0.42,0.5,0.48,0.55,0.48,0.36,0.37,0.4,0.46,0.38,0.35,0.4,0.37,0.44,0.43,0.46,0.44,0.38
aztec.csv,0.86,0.52,0.9,0.97,0.51,0.83,0.41,0.42,0.6,0.5,0.53,0.5,0.96,0.58,0.38,0.64,0.49,0.51,0.63,0.69
biopax.csv,0.37,0.4,0.42,0.46,0.49,0.43,0.49,0.36,0.35,0.38,0.45,0.38,0.35,0.38,0.37,0.53,0.42,0.48,0.39,0.3
bl-toolkit.csv,0.41,0.49,0.47,0.7,0.48,0.44,0.37,0.36,0.38,0.39,0.46,0.38,0.36,0.61,0.37,0.53,0.52,0.46,0.39,0.33
clamav.csv,0.41,0.41,0.57,0.4,0.41,0.42,0.36,0.34,0.43,0.45,0.36,0.41,0.43,0.37,0.39,0.68,0.33,0.48,0.45,0.44
crux-framework.csv,0.63,0.98,0.85,0.77,0.88,0.44,0.67,0.5,0.94,0.44,0.45,0.44,0.95,0.82,0.41,0.88,0.93,0.8,0.63,0.9
gnupdate.csv,0.51,0.45,0.69,0.61,0.5,0.43,0.43,0.97,0.38,0.5,0.65,0.59,0.39,0.54,0.88,0.55,0.48,0.56,0.52,0.3
jmule.csv,0.47,0.44,0.51,0.77,0.52,0.89,0.49,0.36,0.34,0.57,0.56,0.51,0.42,0.46,0.37,0.54,0.4,0.46,0.61,0.48
mbse.csv,0.52,0.49,0.73,0.49,0.47,0.45,0.43,0.51,0.37,0.42,0.42,0.41,0.4,0.52,0.41,0.76,0.46,0.47,0.42,0.35
mplayer-ce.csv,0.43,0.4,0.45,0.49,0.44,0.44,0.59,0.55,0.4,0.88,0.59,0.48,0.61,0.41,0.55,0.47,0.42,0.48,0.51,0.43
ng4j.csv,0.63,0.48,0.61,0.64,0.41,0.96,0.36,0.65,0.39,0.64,0.56,0.63,0.43,0.48,0.46,0.57,0.41,0.49,0.61,0.52
ns-3-dev-def-routing.csv,0.69,0.66,0.49,0.82,0.58,0.83,0.84,0.37,0.59,0.5,0.52,0.47,0.51,0.52,0.4,0.6,0.51,0.53,0.68,0.0
openxava.csv,0.53,0.47,0.8,0.55,0.88,0.41,0.41,0.52,0.59,0.34,0.37,0.38,0.57,0.57,0.47,0.9,0.45,0.67,0.41,0.33
phonon-vlc-mplayer.csv,0.94,0.58,0.44,0.84,0.6,0.8,0.48,0.36,0.65,0.88,0.6,0.49,0.55,0.51,0.37,0.67,0.46,0.53,0.94,0.0
qgis.csv,0.75,0.5,0.88,0.7,0.67,0.94,0.51,0.0,0.5,0.8,0.0,0.0,0.5,0.49,0.5,0.62,0.63,0.75,0.79,0.0
vars-redux.csv,0.39,0.4,0.42,0.47,0.59,0.49,0.36,0.36,0.4,0.35,0.46,0.37,0.37,0.38,0.37,0.55,0.33,0.41,0.44,0.43
xamj.csv,0.39,0.39,0.41,0.46,0.39,0.41,0.34,0.36,0.42,0.36,0.48,0.4,0.41,0.42,0.49,0.44,0.34,0.51,0.41,0.31
yafdotnet.csv,0.39,0.39,0.56,0.39,0.31,0.36,0.35,0.36,0.35,0.8,0.52,0.48,0.45,0.36,0.47,0.54,0.35,0.46,0.45,0.33
