,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.55,0.64,0.69,1.06,0.53,0.58,0.59,0.35,0.59,0.64,0.36,0.69
blue-c.csv,0.83,0.82,0.63,1.14,0.57,0.68,0.42,0.23,0.89,0.6,0.67,0.66
cities3d.csv,0.7,0.69,0.88,0.69,0.81,1.0,0.45,0.54,0.47,0.93,0.8,1.0
dynalloy.csv,0.76,0.33,0.66,1.14,0.46,0.8,0.8,0.61,0.94,0.89,0.65,0.8
firebird.csv,0.65,0.67,0.53,1.06,0.52,0.55,0.65,0.53,0.47,0.56,0.97,0.55
hydrogen.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.9,1.0,0.27,1.0,0.67,0.98
nosleepsoftware.csv,0.68,1.0,0.84,0.39,0.94,1.0,0.95,0.97,1.0,0.93,1.01,0.98
openmalaria.csv,0.64,0.74,0.66,0.75,0.65,0.38,0.43,0.43,0.43,0.33,0.89,0.55
popeye-chess.csv,0.5,0.67,0.61,0.95,0.46,0.31,0.87,0.47,0.44,0.49,0.71,0.53
qgo.csv,0.2,0.76,0.87,0.83,0.59,0.9,0.96,0.9,0.56,0.88,0.91,0.8
xmoto.csv,0.94,0.66,0.65,0.74,0.48,0.67,0.46,0.54,0.43,0.46,0.72,0.37
yield.csv,0.64,0.69,0.56,0.67,0.33,0.42,0.91,0.36,0.58,0.62,0.85,0.55
