,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.89,0.7,0.61,0.95,0.98,0.0
lazarus-ccr.csv,0.0,0.51,0.36,0.3,0.65,0.42
lcfizvtop.csv,0.79,0.35,0.14,0.14,0.02,0.63
migen.csv,0.11,0.0,0.18,0.11,0.23,0.42
mvnforum.csv,0.18,0.26,0.0,0.02,0.0,0.05
plplot.csv,1.0,0.58,0.7,0.0,0.21,0.68
