,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.66,0.62,0.52,0.42,0.32,0.99
lazarus-ccr.csv,1.0,0.44,0.49,0.23,0.17,0.81
lcfizvtop.csv,0.52,0.47,0.29,0.29,0.91,0.68
migen.csv,0.36,1.0,0.47,0.26,0.09,0.52
mvnforum.csv,0.19,0.42,0.94,0.17,0.17,0.19
plplot.csv,0.58,0.58,0.34,0.95,0.25,0.77
