,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.63,0.39,0.91,0.78,0.5,0.25,0.14,1.0,0.83,0.88,0.75,0.8,0.18,0.85,0.55,0.71,0.93,1.0,0.21
delphilhlplib.csv,0.66,0.49,0.9,0.9,0.42,0.27,0.11,0.91,0.93,0.87,1.0,0.82,0.25,0.87,0.71,0.78,0.94,0.83,0.16
exordium.csv,0.65,0.41,0.78,0.92,0.53,0.29,0.12,0.57,0.89,0.88,1.0,0.58,0.14,0.81,0.71,0.86,0.92,0.82,0.19
fltk.csv,0.69,0.21,0.78,0.78,0.42,0.25,0.27,0.56,0.94,0.82,0.58,0.61,0.21,0.79,0.77,0.72,0.91,0.77,0.17
genoviz.csv,0.75,0.23,0.72,1.0,1.0,0.38,0.09,0.5,1.0,0.86,1.0,1.0,0.0,1.0,0.89,1.0,0.98,0.85,0.56
gzigzag.csv,0.72,0.33,0.87,0.64,0.6,0.36,0.15,0.5,0.89,0.85,0.9,0.59,0.06,0.86,0.86,0.9,0.61,0.68,0.13
irrlicht.csv,0.62,0.0,0.75,0.57,0.25,0.24,0.24,0.38,0.85,0.82,0.43,0.35,0.09,0.55,0.68,0.63,0.89,0.59,0.1
kmess.csv,0.83,0.0,0.33,0.63,0.3,0.32,0.33,0.57,0.91,0.75,0.5,0.49,0.03,0.67,0.85,0.75,0.48,0.0,0.0
moast.csv,0.55,0.25,0.56,0.54,0.27,0.23,0.23,0.26,0.85,0.78,0.43,0.26,0.05,0.67,0.64,0.63,0.99,0.59,0.11
mptvseries.csv,0.78,0.19,1.0,0.76,0.44,0.42,0.08,0.62,0.94,0.81,0.76,0.81,0.23,0.88,0.78,0.82,1.0,0.82,0.18
nativeclient.csv,0.75,0.32,0.76,0.7,0.3,0.26,0.2,0.59,0.88,0.85,0.6,0.47,0.13,0.65,0.74,0.7,0.9,0.77,0.11
openfrag.csv,0.67,0.23,0.76,0.64,0.39,0.26,0.22,0.68,0.93,0.83,0.96,0.58,0.21,0.82,0.72,0.69,0.9,0.77,0.12
phet.csv,0.14,0.3,0.76,0.22,0.1,0.22,0.41,0.25,0.57,0.68,0.12,0.28,0.08,0.31,0.56,0.52,0.19,0.51,0.0
qdvdauthor.csv,0.76,0.17,0.57,0.57,0.24,0.22,0.26,0.46,0.97,0.75,0.43,0.52,0.1,0.57,0.82,0.66,0.98,0.58,0.0
qse.csv,0.65,0.35,0.73,0.62,0.37,0.26,0.22,0.52,0.88,0.77,0.82,0.46,0.1,0.63,0.73,0.7,0.9,0.68,0.08
sauerbraten.csv,0.79,0.24,0.72,0.57,0.26,0.27,0.24,0.37,0.85,0.76,0.43,0.36,0.07,0.55,0.68,0.62,0.93,0.59,0.03
toped.csv,0.65,0.19,0.73,0.55,0.27,0.23,0.22,0.47,1.0,0.77,0.44,0.28,0.1,0.6,0.74,0.62,0.93,0.63,0.11
truevision.csv,0.69,0.41,0.8,0.71,0.3,0.34,0.22,0.55,0.88,0.83,1.0,0.64,0.16,0.8,0.7,0.71,0.89,0.88,0.12
zoolib.csv,0.7,0.57,0.78,0.8,0.36,0.26,0.13,0.82,0.91,0.84,1.0,0.58,0.22,0.88,0.68,0.74,0.89,0.82,0.14
