,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.95,0.74,0.55,0.05,0.11,0.24,0.19,0.32,0.2,0.28,0.26,0.11,0.68,0.17,0.15,0.11,0.83,0.05,0.6
delphilhlplib.csv,0.95,0.4,0.83,0.33,0.84,0.55,0.14,0.53,0.55,0.38,0.43,0.37,0.61,0.3,0.3,0.46,0.99,0.16,1.0
exordium.csv,0.95,0.78,0.94,0.27,0.89,0.69,0.2,0.42,0.63,0.39,0.09,0.39,0.84,0.32,0.3,0.4,0.25,0.19,1.0
fltk.csv,0.87,0.28,0.4,0.69,0.74,0.66,0.7,0.53,0.59,0.58,0.89,0.37,0.16,0.56,0.6,0.62,0.99,0.37,1.0
genoviz.csv,0.23,0.05,0.55,0.08,0.21,0.38,0.06,0.11,0.12,0.11,0.06,0.11,0.0,0.09,0.2,0.1,0.23,0.15,1.0
gzigzag.csv,0.74,0.26,0.25,0.22,0.32,0.55,0.14,0.26,0.67,0.27,0.51,0.58,0.13,0.27,0.3,0.2,0.13,0.13,1.0
irrlicht.csv,1.0,0.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.13,0.0,0.02,0.76,0.68,0.21,0.07,0.42,0.82,0.45,0.03,0.63,0.06,0.36,0.55,0.71,0.1,0.0,0.0
moast.csv,0.15,1.0,0.26,0.39,0.37,0.86,0.38,0.26,1.0,0.27,1.0,0.26,0.1,0.45,0.18,1.0,0.97,1.0,0.8
mptvseries.csv,0.79,0.35,0.04,0.62,0.58,0.34,0.04,0.68,0.59,0.27,0.83,0.34,0.1,0.35,0.45,0.44,0.0,0.21,0.8
nativeclient.csv,0.54,0.71,1.0,0.52,0.95,0.69,0.38,0.68,0.88,0.49,0.77,0.84,0.81,0.65,0.57,0.67,0.99,0.65,0.8
openfrag.csv,0.95,0.48,0.91,0.88,0.84,0.72,0.77,0.68,0.84,0.73,0.66,0.5,0.29,0.71,0.57,0.58,0.97,0.33,1.0
phet.csv,0.03,0.63,0.3,0.07,0.16,0.38,0.59,0.37,0.16,0.41,0.06,0.66,0.84,0.32,0.35,0.34,0.02,0.46,0.0
qdvdauthor.csv,0.41,0.31,0.3,0.87,0.63,0.41,0.71,0.84,0.59,0.64,1.0,0.34,0.19,0.7,0.78,0.74,0.82,0.84,0.0
qse.csv,0.87,0.39,0.6,0.91,0.95,0.9,0.57,0.68,0.96,0.69,0.77,0.68,0.74,0.39,0.55,0.55,1.0,0.37,0.6
sauerbraten.csv,0.77,0.96,0.64,0.99,1.0,0.9,0.87,0.95,1.0,0.95,1.0,1.0,0.68,1.0,1.0,0.97,0.99,1.0,0.2
toped.csv,0.9,0.43,0.83,0.75,0.89,0.86,0.83,0.89,0.76,0.73,0.94,0.32,0.52,0.76,0.8,0.66,0.98,0.8,1.0
truevision.csv,0.95,0.06,0.7,0.67,0.84,0.48,0.41,0.58,0.73,0.58,0.14,0.74,0.84,0.55,0.57,0.56,1.0,0.2,0.8
zoolib.csv,0.9,0.13,0.66,0.47,0.68,0.66,0.14,0.47,0.61,0.45,0.17,0.47,0.68,0.23,0.42,0.52,0.99,0.1,0.6
