,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.78,0.62,0.0,0.66,0.59,0.55,0.45,0.78,0.43,0.17,0.69,0.25,0.93,0.29
awemud.csv,0.85,0.21,0.25,0.56,0.62,0.63,0.77,0.82,0.54,0.12,0.68,0.31,1.0,0.44
buddata-ebxml-registry.csv,0.73,0.25,0.31,0.49,0.63,0.4,0.38,0.41,0.52,0.1,0.52,0.2,1.0,0.22
cornerstone.csv,1.0,0.46,0.0,0.64,0.7,0.67,0.73,1.0,0.7,0.1,0.83,0.28,1.0,0.67
firebreath.csv,0.85,0.18,0.11,0.57,0.7,0.55,0.52,0.73,0.52,0.09,0.66,0.27,0.96,0.38
lsb.csv,0.81,0.5,0.32,0.52,0.71,0.46,0.37,0.57,0.56,0.16,0.48,0.21,1.0,0.3
maya-work-in-progress.csv,0.8,0.28,0.75,0.53,0.62,0.43,0.47,0.75,0.55,0.11,0.66,0.24,0.98,0.27
mia.csv,0.65,0.67,0.26,0.4,0.5,0.43,0.47,0.61,0.5,0.23,0.53,0.15,0.83,0.24
open-beos.csv,0.81,0.05,0.33,0.61,0.61,0.61,0.84,0.73,0.55,0.09,0.57,0.27,1.0,0.42
qgis.csv,0.74,0.08,0.31,0.68,0.65,0.45,0.39,0.68,0.51,0.09,0.53,0.25,0.93,0.36
rocrail.csv,0.91,1.0,0.44,0.61,0.71,0.69,0.45,1.0,0.59,0.04,0.63,0.22,0.95,0.51
rtb-team.csv,0.77,0.8,0.75,0.8,0.5,0.56,0.57,0.8,0.54,0.07,0.86,0.29,0.86,0.41
tradelink.csv,0.73,0.24,0.29,0.73,0.59,0.43,0.27,0.62,0.53,0.05,0.46,0.39,0.94,0.33
upp-mirror.csv,0.75,0.92,0.23,0.64,0.77,0.5,0.52,0.65,0.48,0.13,0.5,0.24,0.96,0.43
