,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.87,0.46,0.46,0.57,0.71,0.45,0.56,0.39,0.63,0.47,0.86,0.61,0.39,0.53,0.45,0.51,0.62,0.6,0.56,0.75
apertium.csv,0.39,0.92,0.61,0.96,0.5,0.52,0.55,0.0,0.47,0.48,0.66,0.8,0.96,0.4,0.88,0.6,0.39,0.86,0.0,0.41
beast-mcmc.csv,0.51,0.39,0.39,0.48,0.49,0.42,0.39,0.38,0.44,0.43,0.4,0.4,0.34,0.35,0.39,0.41,0.44,0.47,0.44,0.37
bigdata.csv,0.83,0.75,0.52,0.71,0.47,0.55,0.67,0.37,0.51,0.67,0.75,0.46,0.48,0.42,0.35,0.46,0.58,0.91,0.95,0.38
cuberok.csv,0.68,0.41,0.57,0.59,0.65,0.48,0.54,0.54,0.59,0.65,0.71,0.46,0.44,0.62,0.52,0.48,0.46,0.77,0.45,0.45
exist.csv,0.37,0.37,0.41,0.44,0.42,0.38,0.36,0.36,0.4,0.46,0.43,0.37,0.44,0.38,0.33,0.44,0.36,0.5,0.46,0.33
icescrum.csv,0.59,0.71,0.57,0.79,0.61,0.5,0.52,0.47,0.46,0.5,0.6,0.75,0.8,0.38,0.77,0.58,0.58,0.57,0.57,0.48
jbasic.csv,0.39,0.42,0.42,0.58,0.48,0.48,0.4,0.44,0.4,0.5,0.42,0.39,0.35,0.38,0.88,0.51,0.37,0.42,0.47,0.37
jgnash.csv,0.39,0.47,0.38,0.41,0.39,0.57,0.4,0.41,0.51,0.5,0.56,0.36,0.5,0.45,0.34,0.39,0.37,0.42,0.58,0.33
jrefactory.csv,0.4,0.54,0.52,0.53,0.68,0.89,0.77,0.4,0.63,0.62,0.51,0.45,0.97,0.76,0.39,0.64,0.34,0.43,0.48,0.56
jsecurity.csv,0.85,0.58,0.49,0.44,0.92,0.41,0.65,0.55,0.44,0.92,0.73,0.89,0.59,0.48,0.88,0.72,0.89,0.85,0.75,0.86
libopenmetaverse.csv,0.34,0.37,0.38,0.46,0.46,0.5,0.36,0.4,0.41,0.43,0.45,0.41,0.46,0.35,0.35,0.4,0.32,0.47,0.46,0.32
mobicents.csv,0.4,0.39,0.41,0.55,0.51,0.42,0.44,0.44,0.43,0.42,0.54,0.41,0.36,0.35,0.54,0.39,0.37,0.47,0.48,0.37
mp-rechnungs-und-kundenverwaltung.csv,0.4,0.63,0.56,0.67,0.85,0.6,0.6,0.64,0.82,0.44,0.53,0.86,0.86,0.48,0.67,0.57,0.65,0.69,0.7,0.64
opendvr.csv,0.39,0.41,0.45,0.53,0.47,0.35,0.41,0.77,0.37,0.5,0.65,0.65,0.41,0.33,0.48,0.37,0.56,0.6,0.81,0.38
openefm.csv,0.4,0.45,0.47,0.5,0.62,0.39,0.4,0.6,0.46,0.72,0.58,0.51,0.36,0.42,0.44,0.53,0.88,0.55,0.45,0.34
sidekar.csv,0.0,0.52,0.0,0.0,0.47,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
wheat.csv,0.57,0.44,0.59,0.61,0.67,0.43,0.45,0.41,0.44,0.59,0.45,0.61,0.36,0.45,0.46,0.51,0.71,0.51,0.49,0.45
wsmt.csv,0.97,0.91,0.83,0.96,0.67,0.75,0.99,0.67,0.9,0.88,0.9,0.91,0.96,0.86,0.83,0.98,0.66,0.83,0.86,0.75
yarp0.csv,0.44,0.53,0.73,0.58,0.65,0.48,0.73,0.51,0.88,0.5,0.67,0.53,0.56,0.35,0.54,0.74,0.38,0.58,0.44,0.8
