,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.76,0.93,0.83,0.71,0.61,0.72,0.75,0.67,0.94,0.76,0.67,0.61,1.0,0.88,0.05,0.95,0.59
chaosrts.csv,0.47,0.68,0.8,0.92,0.9,0.5,0.77,0.9,0.88,0.89,0.85,0.64,0.83,0.01,0.85,0.78,0.69
cortex-vfx.csv,0.86,0.74,0.66,0.8,0.72,0.45,0.54,0.75,1.01,0.86,0.71,0.86,0.06,0.78,0.89,0.72,0.82
fm-classic.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fritzing.csv,0.6,0.45,0.03,0.54,0.57,0.69,0.42,1.07,0.84,0.37,0.5,0.74,0.56,0.61,0.51,0.67,0.52
jlinalg.csv,0.02,0.57,0.68,0.6,0.68,0.59,0.34,0.56,1.12,0.72,0.61,0.66,1.0,0.9,0.32,0.84,0.46
loki-lib.csv,0.49,0.4,0.53,0.58,0.5,0.51,0.82,0.87,0.76,0.65,0.65,0.07,0.74,0.54,0.64,0.56,0.68
metacosm.csv,0.62,0.69,0.65,0.46,0.59,0.34,0.64,1.08,0.82,0.51,0.8,0.62,0.6,0.7,0.75,0.11,0.59
multitude.csv,0.61,0.71,0.51,0.7,0.5,0.61,0.54,1.03,0.7,0.6,0.02,0.62,0.62,0.64,0.62,0.49,0.66
ng4j.csv,0.66,0.62,0.76,0.42,0.55,0.55,0.4,0.42,0.94,0.95,0.62,0.81,0.81,0.6,0.68,0.56,0.0
phonon-vlc-mplayer.csv,0.98,0.88,0.76,0.46,0.61,0.65,0.0,0.69,0.93,0.48,0.61,0.74,0.73,0.83,0.69,0.63,0.7
playerstage.csv,0.78,0.66,0.5,0.03,0.56,0.84,0.43,0.69,0.88,0.62,0.68,0.6,0.65,0.88,0.62,0.56,0.78
qgis.csv,0.87,0.57,0.55,0.56,0.04,0.56,0.55,0.54,0.9,0.55,0.67,0.71,0.62,0.73,0.73,0.55,0.68
rsyslog.csv,0.78,0.43,0.47,0.6,0.56,0.08,0.53,1.01,0.81,0.67,0.63,0.64,0.66,0.72,0.75,0.46,0.68
rtrt-on-gpu.csv,1.0,0.84,0.93,0.93,0.9,0.91,0.98,1.0,0.1,0.86,0.97,0.98,0.9,0.97,0.99,0.97,0.82
superwaba.csv,0.77,0.0,0.52,0.86,0.66,0.55,0.64,0.6,0.87,0.58,0.5,0.77,0.57,0.6,0.68,0.55,0.65
unflobtactical.csv,1.0,0.71,0.55,0.48,0.53,0.57,0.45,0.45,0.77,0.03,0.63,0.81,0.58,0.66,0.5,0.66,0.48
