,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.9,0.33,0.42,0.52,0.9,0.51,0.35,0.39,0.86,0.39,0.34
elateportal.csv,0.56,0.55,0.0,0.55,0.75,0.63,0.95,0.85,0.46,0.73,0.3
etics.csv,0.95,0.92,0.69,0.48,0.75,0.95,0.96,0.69,0.95,0.8,0.8
lockss.csv,0.83,0.91,0.88,0.94,0.67,0.86,0.94,0.95,0.95,0.92,0.67
pcgen.csv,0.82,0.42,0.57,0.54,0.51,0.51,0.65,0.69,0.61,0.57,0.83
personalaccess.csv,0.62,0.44,0.48,0.36,0.5,0.38,0.77,0.39,0.3,0.53,0.34
pydev.csv,0.5,0.54,0.68,0.44,0.57,0.36,0.47,0.37,0.97,0.65,0.88
rhex.csv,0.91,0.84,0.0,0.62,0.57,0.58,0.54,0.53,0.75,0.77,0.31
stuproa-cims.csv,0.57,0.32,0.38,0.44,0.44,0.38,0.83,0.42,0.59,0.37,0.67
uclmda.csv,0.93,0.95,0.8,0.88,0.8,0.9,0.93,0.95,0.26,0.87,0.8
wgs-assembler.csv,0.77,0.65,0.78,0.96,0.8,0.95,0.97,0.82,0.36,0.85,0.8
