,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.13,0.34,0.3,0.49,1.0,0.18,0.27,0.84,0.43,0.38,0.89
elateportal.csv,0.22,0.36,0.0,0.64,0.0,0.13,0.3,0.82,0.98,0.27,1.0
etics.csv,0.05,0.42,1.0,0.62,0.15,0.2,0.35,0.85,0.89,0.4,0.8
lockss.csv,0.0,0.36,0.5,0.67,0.33,1.0,0.31,1.0,0.95,0.5,0.33
pcgen.csv,0.18,0.39,0.3,1.0,0.21,0.24,0.31,0.87,0.96,0.35,0.5
personalaccess.csv,0.23,0.46,0.38,0.51,0.2,0.26,0.43,1.0,0.98,0.42,0.92
pydev.csv,0.15,0.31,0.36,0.4,0.18,0.22,0.26,0.91,0.87,0.97,0.88
rhex.csv,1.0,0.53,0.0,0.53,0.24,0.23,0.23,0.82,0.92,0.42,0.91
stuproa-cims.csv,0.14,0.36,0.25,0.43,0.17,0.23,1.0,0.88,0.96,0.36,0.78
uclmda.csv,0.21,0.35,0.0,0.5,0.0,0.3,0.2,0.74,1.0,0.07,0.6
wgs-assembler.csv,0.23,1.0,0.56,0.25,0.28,0.16,0.24,0.89,0.97,0.33,0.6
