,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.33,0.92,0.92,0.64,0.71,0.68,0.98,0.97,0.02,0.94,0.89
elateportal.csv,0.58,0.41,0.0,0.51,0.0,0.18,0.11,0.23,0.49,0.22,1.0
etics.csv,0.08,0.13,1.0,0.73,0.21,0.18,0.15,0.27,0.1,0.28,0.09
lockss.csv,0.0,0.1,0.31,0.22,0.07,0.95,0.09,0.17,0.12,0.17,0.02
pcgen.csv,0.25,0.62,0.54,0.98,0.86,0.45,0.42,0.37,0.33,0.47,0.07
personalaccess.csv,0.5,0.64,0.62,0.8,0.64,0.82,0.35,1.0,0.78,0.44,0.8
pydev.csv,0.83,0.38,0.62,0.96,0.57,0.95,0.45,0.75,0.2,0.92,0.16
rhex.csv,0.92,0.26,0.0,0.51,0.36,0.55,0.47,0.53,0.33,0.36,0.93
stuproa-cims.csv,0.58,1.0,1.0,0.93,1.0,0.82,0.87,0.76,0.41,0.86,0.16
uclmda.csv,0.25,0.18,0.0,0.07,0.0,0.14,0.05,0.11,1.0,0.06,0.07
wgs-assembler.csv,0.42,0.95,0.38,0.13,0.5,0.14,0.16,0.28,0.67,0.25,0.07
