,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.74,0.99,0.67,0.57,0.29,0.81,0.99,0.92,1.19,0.81,0.84
elateportal.csv,0.52,0.71,1.0,0.53,1.0,0.87,0.9,0.81,0.61,0.84,0.0
etics.csv,0.94,0.88,0.0,0.41,0.82,0.84,0.86,0.77,0.96,0.75,0.92
lockss.csv,1.0,0.9,0.7,0.79,0.93,0.05,0.91,0.83,0.9,0.84,1.03
pcgen.csv,0.77,0.67,0.6,0.02,0.68,0.64,0.67,0.69,0.75,0.7,1.06
personalaccess.csv,0.56,0.55,0.49,0.56,0.65,0.58,0.68,0.0,0.4,0.64,0.54
pydev.csv,0.71,0.78,0.51,0.96,0.68,0.83,0.72,0.44,1.15,0.08,0.86
rhex.csv,0.08,0.75,1.0,0.58,0.68,0.63,0.78,0.73,1.07,0.69,0.67
stuproa-cims.csv,0.68,1.0,0.93,0.83,1.0,0.67,0.13,0.57,0.77,0.82,0.9
uclmda.csv,0.76,0.84,1.01,0.93,1.0,0.87,0.95,0.91,0.0,1.03,0.99
wgs-assembler.csv,0.62,0.05,0.62,0.91,0.57,0.88,0.86,0.74,0.6,0.79,0.99
