,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.18,0.91,0.17,0.11,0.18,0.33,0.25,0.0,0.25,0.17,1.0,0.11,0.0,0.27,0.46
chaperon.csv,0.16,0.09,0.0,0.0,0.07,0.0,0.01,0.0,1.0,0.09,0.0,0.05,0.33,0.03,0.08
co-ode-owl-plugins.csv,0.04,0.45,1.0,0.11,0.41,0.27,0.3,0.0,0.0,0.17,0.0,0.21,0.0,0.06,0.0
e-bio-flow.csv,0.16,0.09,0.11,0.33,0.11,0.97,0.3,0.5,0.0,0.09,0.0,0.02,0.0,0.09,0.25
free-evolution.csv,0.43,0.55,0.17,0.17,0.23,0.1,0.58,0.5,0.0,0.22,1.0,0.2,0.0,0.97,0.38
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmonkeyengine.csv,0.08,0.14,0.06,0.94,0.16,0.07,0.34,0.0,0.0,0.39,0.0,0.09,0.0,0.0,0.04
jmule.csv,0.35,0.64,0.22,0.5,0.61,0.7,0.53,1.0,0.0,0.7,1.0,0.29,0.67,0.3,0.96
kaffeine.csv,1.0,1.0,1.0,0.83,0.86,0.97,0.95,1.0,1.0,1.0,1.0,0.89,0.67,0.91,0.96
nodal.csv,0.2,0.09,0.11,0.11,0.18,0.07,0.21,0.0,0.0,1.0,0.0,0.23,0.0,0.03,0.17
ogrehg.csv,0.27,0.5,0.06,0.39,0.38,0.43,0.97,0.0,0.25,0.04,1.0,0.3,0.33,0.42,0.08
onotoa.csv,0.67,0.41,0.61,0.56,1.0,0.63,0.52,1.0,1.0,0.78,1.0,0.65,1.0,0.52,0.75
papertoolkit.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0
