,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.61,0.9,0.65,0.86
img-browse-sort.csv,0.55,0.54,0.56,0.77
pcsx2.csv,0.87,0.49,0.54,0.59
xstore.csv,0.51,0.46,0.51,0.5
