,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.43,0.21,0.96,0.38
img-browse-sort.csv,0.5,0.37,0.39,0.92
pcsx2.csv,0.2,0.98,0.43,0.31
xstore.csv,0.93,0.59,0.47,0.54
