,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.47,0.25,0.97,0.43
img-browse-sort.csv,0.54,0.42,0.43,0.93
pcsx2.csv,0.24,0.98,0.47,0.35
xstore.csv,0.94,0.61,0.48,0.56
