,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.84,0.05,0.95,0.78,0.81,0.75,0.79,0.57,1.01,0.78,0.24,0.89,0.67,0.76,0.75
chaperon.csv,0.76,0.83,0.89,0.86,0.92,0.93,0.91,1.03,0.0,0.79,1.01,0.82,0.67,0.97,0.83
co-ode-owl-plugins.csv,0.94,0.91,0.11,1.0,0.89,0.79,0.92,1.01,1.01,0.91,1.01,0.97,1.0,1.0,1.0
e-bio-flow.csv,0.98,0.81,0.89,0.73,0.83,0.03,0.98,0.51,0.58,0.79,0.24,0.99,1.0,1.0,0.81
free-evolution.csv,0.76,0.56,0.85,0.79,0.75,0.72,0.66,0.42,0.76,0.73,0.28,1.17,0.67,0.12,0.86
jaxlib.csv,0.98,1.0,1.0,1.0,0.96,1.0,0.93,0.0,1.0,1.0,1.0,0.94,1.0,0.94,1.0
jmonkeyengine.csv,0.75,0.65,0.85,0.06,0.71,0.61,0.59,1.17,1.04,0.57,1.04,0.76,0.72,0.75,0.9
jmule.csv,0.67,0.66,0.55,0.55,0.67,0.57,0.61,0.6,0.84,0.77,0.44,0.39,0.57,0.72,0.0
kaffeine.csv,0.02,0.69,0.91,1.0,0.78,0.9,0.97,0.98,0.85,0.97,0.86,1.0,0.76,0.98,0.73
nodal.csv,0.87,0.58,0.66,0.65,0.77,0.62,0.67,0.75,1.01,0.04,0.25,0.78,1.01,0.76,0.57
ogrehg.csv,0.78,0.54,0.85,0.52,0.78,0.61,0.03,0.52,1.02,0.87,0.38,1.22,1.0,0.75,0.88
onotoa.csv,0.8,0.87,0.61,0.61,0.06,0.67,0.74,0.33,1.02,0.78,0.73,0.75,0.93,0.63,0.8
papertoolkit.csv,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,1.0,1.0
