,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.28,0.98,0.07,0.3,0.36,0.34,0.31,0.12,0.0,0.27,0.07,0.2,0.29,0.31,0.4
chaperon.csv,0.39,0.27,0.12,0.19,0.15,0.13,0.15,0.0,1.0,0.29,0.0,0.3,0.29,0.05,0.3
co-ode-owl-plugins.csv,0.12,0.17,0.94,0.0,0.19,0.3,0.14,0.0,0.0,0.15,0.0,0.05,0.0,0.0,0.0
e-bio-flow.csv,0.04,0.29,0.14,0.37,0.29,0.98,0.04,0.25,0.2,0.31,0.07,0.01,0.0,0.0,0.29
free-evolution.csv,0.59,0.55,0.18,0.28,0.44,0.37,0.45,0.17,0.2,0.32,0.06,0.56,0.2,0.94,0.45
jaxlib.csv,0.04,0.0,0.0,0.0,0.08,0.0,0.12,1.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0
jmonkeyengine.csv,0.45,0.47,0.15,0.97,0.49,0.47,0.52,0.0,0.0,0.53,0.0,0.39,0.1,0.29,0.18
jmule.csv,0.49,0.49,0.38,0.47,0.67,0.56,0.52,0.12,0.09,0.29,0.04,0.76,0.12,0.3,1.0
kaffeine.csv,0.99,0.61,0.3,0.42,0.8,0.56,0.56,0.08,0.1,0.43,0.02,0.99,0.09,0.39,0.68
nodal.csv,0.45,0.53,0.29,0.37,0.41,0.47,0.45,0.1,0.0,0.98,0.06,0.36,0.0,0.26,0.55
ogrehg.csv,0.36,0.56,0.18,0.51,0.45,0.47,0.98,0.14,0.0,0.22,0.04,0.45,0.0,0.3,0.21
onotoa.csv,0.38,0.28,0.31,0.42,0.99,0.5,0.41,0.2,0.05,0.32,0.02,0.4,0.1,0.37,0.46
papertoolkit.csv,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0
