,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,0.63,0.61,0.45,0.42,0.29,1.0
lazarus-ccr.csv,1.0,0.42,0.46,0.37,0.18,0.77
lcfizvtop.csv,0.43,0.51,0.08,0.3,0.96,0.71
migen.csv,0.44,0.99,0.21,0.28,0.0,0.34
mvnforum.csv,0.08,0.21,0.97,0.29,0.14,0.28
plplot.csv,0.63,0.63,0.44,0.89,0.26,0.74
