,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,0.35,0.38,0.31,0.51,0.4,0.34
lazarus-ccr.csv,0.58,0.57,0.42,0.72,0.5,0.42
lcfizvtop.csv,0.46,0.58,0.86,0.69,0.75,0.47
migen.csv,0.53,0.52,0.9,0.88,0.89,0.87
mvnforum.csv,0.0,0.93,0.74,0.86,0.67,0.92
plplot.csv,0.35,0.41,0.37,0.65,0.75,0.48
