,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,4.0,3.0,0.0,5.0,1.0,4.0,74.0
flylegacy.csv,6.0,1.0,0.0,3.0,1.0,2.0,9.0
jguard.csv,2.0,2.0,0.0,0.0,1.0,1.0,15.0
mob-sen-plat.csv,0.0,1.0,1.0,6.0,2.0,7.0,0.0
raygina.csv,0.0,52.0,2.0,15.0,2.0,2.0,2.0
upp-mirror.csv,12.0,0.0,1.0,10.0,0.0,2.0,2.0
wishmaster.csv,1.0,1.0,2.0,14.0,1.0,1.0,0.0
