,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.03,0.6,0.45,0.91,0.22,0.46,0.69,0.73,0.43,0.41,0.1,0.52,0.6,0.34,0.28
encog-cs.csv,0.02,0.63,0.38,0.83,0.38,0.43,0.86,0.93,0.61,0.26,0.05,0.51,0.75,0.39,0.56
extprosys.csv,0.03,0.82,0.49,0.92,0.42,0.43,0.42,0.57,0.48,0.27,0.09,0.44,0.74,0.5,0.29
ibatisdb.csv,0.0,0.38,0.32,0.4,0.38,0.36,0.42,0.39,0.41,0.24,0.11,0.07,0.13,0.67,0.48
intact.csv,0.03,0.8,0.38,0.7,0.45,0.54,0.38,0.47,0.46,0.31,0.08,0.22,0.78,0.37,0.29
japano.csv,0.0,0.91,0.47,0.85,0.41,0.45,0.85,0.84,0.51,0.29,0.05,0.51,0.74,0.38,0.53
lockss.csv,0.06,0.62,0.45,0.35,0.22,0.24,0.65,0.63,0.32,0.42,0.09,0.46,0.5,0.27,0.54
ofbiz.csv,0.0,0.88,0.43,0.69,0.36,0.43,0.7,0.56,0.52,0.11,0.06,0.38,0.79,0.42,0.52
officefloor.csv,0.03,0.34,0.22,0.58,0.27,0.26,0.05,0.53,0.43,0.22,0.12,0.09,0.35,0.43,0.36
opennms.csv,0.03,0.71,0.33,0.3,0.44,0.33,0.71,0.3,0.4,0.27,0.09,0.13,0.62,0.26,0.0
rohxel.csv,0.04,0.44,0.38,0.44,0.39,0.34,0.81,0.56,0.21,0.18,0.04,0.46,0.35,0.14,0.0
roolo.csv,0.0,0.8,0.46,0.67,0.42,0.4,0.36,0.48,0.44,0.29,0.06,0.73,0.73,0.2,0.39
sevenupdate.csv,0.02,0.83,0.44,0.94,0.37,0.45,0.88,0.97,0.52,0.26,0.05,0.5,0.76,0.41,0.55
web-cat.csv,0.02,0.68,0.44,0.91,0.38,0.46,0.85,0.86,0.51,0.33,0.06,0.53,0.78,0.43,0.62
