,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,1.0,0.45,0.57,0.85,0.29,0.57,0.56,0.62,0.61,0.95,0.5,0.8,0.54,0.58,0.32
encog-cs.csv,1.0,0.49,0.49,0.81,0.86,0.93,0.97,0.93,0.71,0.27,0.89,0.9,0.84,0.89,0.95
extprosys.csv,1.0,0.78,0.57,0.95,0.93,0.67,0.28,0.41,0.71,0.77,0.84,0.6,0.82,0.97,0.32
ibatisdb.csv,0.0,0.24,0.3,0.26,0.46,0.37,0.28,0.25,0.39,0.36,0.55,0.05,0.07,0.75,0.42
intact.csv,1.0,0.73,0.45,0.57,0.75,0.63,0.26,0.31,0.42,0.95,0.89,0.2,0.86,0.47,0.26
japano.csv,0.0,0.94,0.85,0.83,0.75,0.83,0.95,0.74,0.91,0.73,0.79,0.9,0.85,0.75,0.74
lockss.csv,1.0,0.47,0.55,0.21,0.21,0.2,0.54,0.48,0.24,0.64,0.76,0.55,0.38,0.36,0.58
ofbiz.csv,0.0,0.86,0.91,0.57,0.54,0.77,0.62,0.4,0.64,0.14,0.87,0.35,0.77,0.67,0.79
officefloor.csv,1.0,0.2,0.17,0.43,0.21,0.2,0.03,0.38,0.41,0.23,0.66,0.05,0.22,0.53,0.42
opennms.csv,1.0,0.61,0.28,0.18,0.5,0.27,0.67,0.18,0.32,0.36,0.34,0.1,0.54,0.19,0.0
rohxel.csv,1.0,0.29,0.51,0.29,0.43,0.3,0.74,0.39,0.12,0.14,0.24,0.4,0.23,0.14,0.0
roolo.csv,0.0,0.71,0.81,0.54,0.86,0.77,0.23,0.32,0.59,0.64,0.66,0.75,0.8,0.36,0.53
sevenupdate.csv,1.0,0.71,1.0,1.0,0.82,1.0,1.0,1.0,0.94,0.5,0.97,0.95,0.9,1.0,1.0
web-cat.csv,1.0,0.53,0.96,0.95,0.82,0.9,0.92,0.8,0.89,0.86,0.92,0.9,0.9,0.92,0.68
