,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.45,0.42,0.82,0.41,0.39,0.44,0.37,0.44,0.47,0.54,0.55,0.44,0.5,0.49,0.42,0.34,0.42,0.53,0.48,0.37
clamav.csv,0.43,0.41,0.41,0.36,0.42,0.4,0.34,0.44,0.39,0.43,0.47,0.4,0.77,0.42,0.39,0.35,0.38,0.39,0.47,0.37
customsagetv.csv,0.65,0.95,0.0,0.0,0.45,0.44,0.55,0.88,0.88,0.74,0.56,0.86,0.75,0.75,0.7,0.49,0.5,0.69,0.71,0.38
gss.csv,0.28,0.41,0.36,0.34,0.4,0.45,0.32,0.34,0.38,0.39,0.41,0.43,0.38,0.38,0.29,0.29,0.45,0.34,0.36,0.31
guineu.csv,0.52,0.59,0.0,0.86,0.75,0.73,0.8,0.52,0.94,0.98,0.83,0.69,0.8,0.91,0.93,0.49,0.0,0.79,0.83,0.95
inkscape.csv,0.46,0.43,0.49,0.4,0.95,0.94,0.4,0.56,0.55,0.53,0.91,0.42,0.33,0.94,0.33,0.32,0.67,0.43,0.35,0.38
mpqc.csv,0.79,0.94,0.94,0.92,0.66,0.97,0.9,0.7,0.77,0.8,0.7,0.62,0.39,0.58,0.81,0.44,0.92,0.68,0.52,0.97
nsis.csv,0.42,0.47,0.58,0.86,0.48,0.79,0.41,0.79,0.63,0.54,0.58,0.38,0.42,0.52,0.39,0.45,0.94,0.36,0.48,0.45
octave.csv,0.47,0.68,0.8,0.9,0.66,0.9,0.85,0.47,0.96,0.63,0.69,0.59,0.67,0.67,0.81,0.94,0.8,0.76,0.69,0.88
owfs.csv,0.3,0.41,0.52,0.55,0.42,0.55,0.38,0.41,0.6,0.44,0.48,0.44,0.9,0.44,0.36,0.31,0.48,0.69,0.46,0.35
owlib.csv,0.33,0.38,0.45,0.34,0.42,0.36,0.33,0.31,0.33,0.37,0.38,0.44,0.64,0.36,0.67,0.33,0.31,0.64,0.47,0.31
pamguard.csv,0.6,0.76,0.36,0.43,0.68,0.73,0.48,0.45,0.52,0.64,0.79,0.54,0.54,0.8,0.47,0.67,0.43,0.82,0.57,0.41
papertoolkit.csv,0.5,0.88,0.5,0.8,0.75,0.52,0.56,0.69,0.69,0.59,0.59,0.39,0.8,0.9,0.94,0.76,0.83,0.92,0.83,0.43
prelude.csv,0.31,0.39,0.47,0.4,0.35,0.41,0.35,0.41,0.51,0.44,0.44,0.38,0.38,0.38,0.32,0.33,0.38,0.37,0.33,0.34
pustefix.csv,0.7,0.41,0.62,0.55,0.68,0.52,0.41,0.89,0.77,0.63,0.79,0.71,0.75,0.71,0.58,0.75,0.42,0.62,0.89,0.53
robocode.csv,0.37,0.49,0.0,0.47,0.46,0.4,0.33,0.46,0.61,0.47,0.39,0.45,0.8,0.41,0.5,0.44,0.42,0.56,0.52,0.35
scenemonitor.csv,0.43,0.87,0.75,0.33,0.65,0.69,0.44,0.36,0.54,0.52,0.67,0.35,0.45,0.41,0.92,0.59,0.36,0.46,0.75,0.34
tango-cs.csv,0.31,0.53,0.8,0.46,0.66,0.44,0.38,0.41,0.66,0.48,0.53,0.33,0.32,0.52,0.47,0.49,0.52,0.38,0.48,0.44
uwom-server.csv,0.89,0.72,0.0,0.65,0.48,0.48,0.54,0.67,0.61,0.54,0.45,0.36,0.6,0.88,0.65,0.75,0.38,0.67,0.48,0.46
zengine.csv,0.31,0.4,0.47,0.37,0.39,0.45,0.36,0.43,0.55,0.43,0.47,0.41,0.38,0.38,0.33,0.32,0.43,0.33,0.33,0.36
