,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.53,0.53,0.27,0.18,0.25,0.27,0.63,0.65,0.65,0.29,0.27,0.49,0.67,0.57,0.66
fluidium.csv,0.14,0.02,0.0,0.15,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.13,0.6,0.03
guineu.csv,0.52,0.51,0.86,0.29,0.23,0.32,0.51,0.57,0.37,0.28,0.88,0.82,0.61,0.59,0.58
inkscape.csv,0.39,0.58,0.88,0.3,0.26,0.18,0.78,0.49,0.32,0.43,0.26,0.86,0.62,0.59,0.78
mpqc.csv,0.24,0.12,0.0,0.0,0.14,0.43,0.27,0.35,0.09,0.25,0.58,0.44,0.18,0.42,0.19
nsis.csv,0.4,0.44,0.73,0.18,0.2,0.36,0.65,0.35,0.3,0.35,0.81,0.82,0.62,0.25,0.68
octave.csv,0.5,0.5,0.44,0.21,0.47,0.21,0.58,0.51,0.22,0.36,0.38,0.62,0.46,0.45,0.54
owfs.csv,0.46,0.57,0.44,0.27,0.32,0.2,0.63,0.48,0.36,0.38,0.76,0.86,0.61,0.51,0.7
owlib.csv,0.52,0.64,0.71,0.33,0.37,0.16,0.62,0.62,0.47,0.4,0.56,0.6,0.69,0.54,0.65
pamguard.csv,0.45,0.45,0.64,0.33,0.41,0.21,0.67,0.55,0.42,0.34,0.44,0.48,0.69,0.0,0.67
prelude.csv,0.47,0.57,0.87,0.31,0.31,0.23,0.77,0.6,0.35,0.44,0.73,0.78,0.66,0.58,0.76
robocode.csv,0.54,0.57,0.05,0.43,0.33,0.21,0.77,0.72,0.34,0.48,0.54,0.53,0.63,0.54,0.6
uwom-server.csv,0.26,0.37,0.0,0.0,0.35,0.2,0.59,0.44,0.32,0.46,0.56,0.68,0.22,0.48,0.37
zengine.csv,0.47,0.56,0.81,0.28,0.32,0.27,0.7,0.62,0.32,0.39,0.96,0.91,0.69,0.38,0.77
zildo.csv,0.53,0.58,0.74,0.28,0.34,0.17,0.59,0.47,0.43,0.34,0.35,0.69,0.71,0.34,0.67
