,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.69,0.51,0.2,0.37,0.31,0.37,0.6,0.7,0.84,0.39,0.18,0.39,0.63,0.62,0.6
fluidium.csv,0.1,0.01,0.0,0.3,0.0,0.06,0.0,0.05,0.0,0.0,0.0,0.0,0.09,0.66,0.02
guineu.csv,0.63,0.31,0.0,0.35,0.44,0.62,0.46,0.51,0.62,0.42,0.61,0.58,0.61,0.0,0.49
inkscape.csv,0.52,0.66,0.0,0.0,0.27,0.18,0.76,0.5,0.37,0.65,0.18,0.0,0.42,0.0,0.24
mpqc.csv,0.26,0.1,0.0,0.0,0.21,0.67,0.22,0.37,0.17,0.34,0.46,0.35,0.17,0.44,0.14
nsis.csv,0.48,0.4,0.62,0.3,0.4,0.7,0.37,0.36,0.55,0.54,0.72,0.74,0.59,0.27,0.42
octave.csv,0.66,0.56,0.34,0.39,0.59,0.34,0.49,0.54,0.4,0.54,0.26,0.53,0.44,0.49,0.47
owfs.csv,0.47,0.3,0.34,0.4,0.58,0.45,0.57,0.51,0.61,0.56,0.52,0.73,0.6,0.56,0.43
owlib.csv,0.67,0.69,0.6,0.64,0.65,0.36,0.58,0.66,0.65,0.56,0.43,0.5,0.71,0.55,0.59
pamguard.csv,0.59,0.46,0.53,0.62,0.67,0.45,0.64,0.57,0.67,0.42,0.33,0.37,0.58,0.0,0.61
prelude.csv,0.21,0.13,0.81,0.49,0.4,0.38,0.54,0.27,0.57,0.55,0.0,0.68,0.21,0.64,0.13
robocode.csv,0.7,0.62,0.02,0.59,0.63,0.46,0.75,0.74,0.59,0.63,0.41,0.43,0.54,0.6,0.54
uwom-server.csv,0.27,0.35,0.0,0.0,0.6,0.45,0.54,0.43,0.59,0.66,0.44,0.58,0.19,0.52,0.31
zengine.csv,0.0,0.17,0.71,0.4,0.44,0.47,0.13,0.0,0.37,0.43,0.45,0.87,0.38,0.4,0.0
zildo.csv,0.67,0.6,0.64,0.54,0.49,0.33,0.56,0.4,0.64,0.44,0.25,0.59,0.7,0.33,0.57
