,id,expected,max_bell,avge,median,bellwether,size
56,2,1,2,1.5,0.835,mclient-mume.csv,2
51,3,2,2,1.67,0.545,jam-daq.csv,6
49,4,5,6,3.75,0.59,icescrum.csv,16
57,5,2,1,1.6,0.62,swtfox.csv,5
24,6,7,8,5.3,0.64,autofac.csv,20
19,7,4,1,0.77,0.32,piccolo2d.csv,13
28,8,4,6,3.73,0.75,freedom-erp.csv,11
17,9,2,1,0.33,0.475,mp-rechnungs-und-kundenverwaltung.csv,6
18,11,0,0,0.0,0.12,atunes.csv,1
52,12,1,1,0.5,0.475,gpsmid.csv,2
58,14,1,2,1.0,0.7,amanda.csv,3
50,15,6,7,5.32,0.4,bibedt.csv,20
21,16,4,4,3.54,0.62,bdbbasic.csv,13
26,17,3,4,2.62,0.64,empserver.csv,8
15,18,5,3,2.12,0.55,clamav.csv,16
27,19,1,0,0.67,0.23,yale.csv,3
14,20,3,5,3.1,0.66,amateur-scrolls.csv,10
29,21,2,1,0.8,0.295,voms.csv,6
59,22,4,5,2.25,0.53,wow-qrsk.csv,12
16,27,3,3,2.33,0.56,encog-java.csv,9
25,28,4,3,1.5,0.5,retromenu.csv,12
20,29,4,7,4.38,0.71,algebsql.csv,13
39,30,6,11,6.89,0.775,fbmanager.csv,18
34,31,2,4,3.4,0.76,botsnscouts.csv,5
13,33,4,6,3.25,0.635,quark.csv,12
12,34,3,3,2.8,0.53,m-a-d-n-e-s-s.csv,10
5,35,1,1,1.5,0.535,vapor.csv,4
33,36,5,8,5.0,0.64,customwars.csv,16
40,37,7,14,7.85,0.8200000000000001,reaper-ecad.csv,20
32,38,3,6,4.5,0.7050000000000001,pidgin.csv,10
41,39,5,5,4.31,0.55,owlib.csv,16
54,40,2,2,1.43,0.27,rtb-team.csv,8
47,41,3,3,1.3,0.41000000000000003,applet2app.csv,10
22,42,2,1,1.0,0.42,electric-core.csv,5
31,43,6,11,8.42,0.72,google-web-toolkit.csv,19
30,44,7,10,5.8,0.655,etics.csv,20
23,45,2,2,1.5,0.585,rezilla.csv,6
46,46,2,3,1.2,0.72,tolven.csv,5
55,47,3,5,2.7,0.655,modellus.csv,10
48,48,4,5,2.83,0.56,riff-evolve.csv,12
53,49,6,10,4.94,0.67,img-browse-sort.csv,18
8,51,3,3,3.33,0.52,nova.csv,10
42,52,5,3,3.06,0.48,mia.csv,17
38,53,1,2,1.33,0.69,pdfedit.csv,3
37,54,6,4,3.11,0.305,gtad.csv,20
43,55,3,1,1.11,0.41,ossim.csv,9
7,56,6,6,3.59,0.55,wxcode.csv,17
4,57,4,5,5.0,0.475,opennms.csv,14
9,58,1,1,1.0,0.54,papertoolkit.csv,2
1,59,1,0,0.0,0.39,nassp.csv,4
11,60,4,3,2.17,0.365,xcf.csv,12
0,61,2,0,0.2,0.44,plplot.csv,5
36,62,3,2,2.44,0.6,alembik.csv,9
44,63,1,1,1.0,0.635,silvertree.csv,2
45,64,0,0,0.0,0.48,jrdf.csv,1
35,65,4,7,5.55,0.77,rodin-b-sharp.csv,11
2,66,5,7,4.19,0.565,proftp.csv,16
10,67,5,4,3.0,0.4,adobe-source.csv,15
3,68,5,7,5.88,0.625,bionote.csv,16
6,69,2,3,2.43,0.65,moving-pictures.csv,7
