,id,max_bell,avge,median,bellwether
0,1,8,6.25,0.45499999999999996,jbpm.csv
1,10,2,1.5,0.37,emftriple.csv
2,13,9,6.0,0.49,empyrean.csv
3,26,5,3.6,0.39,mecat.csv
4,32,16,12.35,0.96,xined.csv
5,50,18,12.79,0.67,jicarilla.csv
