,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.26,0.75,0.54,0.55,0.85,0.32,0.53,0.49,0.77,0.73,0.4,0.71,0.76,0.61
carabiner.csv,0.23,0.67,0.56,0.56,0.84,0.58,0.97,0.46,0.9,0.69,0.45,0.72,0.67,0.55
elvishrayrenderer.csv,0.19,0.6,0.53,0.47,0.73,0.34,0.97,0.4,0.52,0.46,0.35,0.53,0.8,0.46
fleet-simulator.csv,0.22,0.67,0.64,0.55,0.74,0.46,0.97,0.5,0.98,0.83,0.32,0.81,0.77,0.68
gmerlin.csv,0.0,0.68,0.65,0.53,0.76,0.46,0.66,0.56,0.88,0.69,0.39,0.78,0.76,0.55
gnome-jabber.csv,0.24,0.73,0.61,0.46,0.81,0.27,0.74,0.45,0.81,0.75,0.39,0.63,0.76,0.58
ipfilter.csv,0.27,0.32,0.61,0.46,0.74,0.46,0.95,0.45,0.78,0.96,0.39,0.7,0.79,0.44
irplus.csv,0.31,0.57,0.62,0.54,0.62,0.4,0.39,0.48,0.48,0.65,0.46,0.57,0.62,0.6
mevenide.csv,0.12,0.0,0.17,0.07,0.35,0.29,0.1,0.26,0.11,0.44,0.68,0.39,0.51,0.0
moving-pictures.csv,0.23,0.52,0.63,0.47,0.7,0.25,0.56,0.3,0.37,0.65,0.29,0.6,0.54,0.74
opensim4opencog.csv,0.31,0.64,0.47,0.52,0.81,0.24,0.45,0.5,0.73,0.56,0.41,0.56,0.4,0.51
rockbox.csv,0.17,0.48,0.45,0.41,0.25,0.3,0.46,0.35,0.73,0.56,0.44,0.39,0.56,0.74
ta3d.csv,0.07,0.0,0.0,0.32,0.4,0.21,0.08,0.0,0.58,0.36,0.38,0.71,0.0,0.0
xcmetadataservicestoolkit.csv,0.27,0.14,0.38,0.43,0.84,0.39,0.96,0.43,0.74,0.78,0.36,0.81,0.72,0.0
