,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.26,0.1,0.0,0.26,0.01,0.11,0.25,0.5,0.85,0.38,0.17,0.98,0.38,0.31,0.38,0.43,0.38,0.15,0.52
all-plasm.csv,0.49,0.07,0.22,0.02,0.0,0.11,0.45,0.61,0.38,0.66,0.99,0.1,0.58,0.24,0.39,0.36,0.31,0.05,0.1
awemud.csv,0.99,0.64,0.34,0.26,0.56,0.45,0.64,0.38,0.95,0.51,0.5,0.65,0.54,0.56,0.54,0.47,0.38,0.52,0.59
buddata-ebxml-registry.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.17,0.36,0.0,0.99,0.0,0.0
bullet.csv,0.54,0.47,0.59,0.21,0.79,1.0,0.63,0.51,0.59,0.58,0.33,0.57,0.5,0.52,0.64,0.39,0.68,0.17,0.6
dvd-create.csv,0.63,0.67,0.69,0.54,0.99,0.7,0.65,0.6,0.44,0.7,0.58,0.4,0.56,0.59,0.69,0.42,0.45,0.57,0.69
gbif-indexingtoolkit.csv,0.21,0.38,0.41,0.53,0.46,0.21,0.1,0.85,0.2,0.37,0.28,0.58,0.23,0.12,0.34,0.27,0.16,0.46,0.0
go.csv,0.58,0.98,0.46,0.42,0.6,0.62,0.63,0.47,0.76,0.5,0.58,0.73,0.65,0.5,0.55,0.47,0.52,0.68,0.81
gss.csv,0.35,0.27,0.43,0.29,0.64,0.5,0.51,0.6,0.51,0.27,0.0,0.09,0.59,0.45,0.94,0.46,0.73,0.33,0.6
jmule.csv,0.51,0.34,0.35,0.05,0.31,0.31,0.67,0.46,0.48,0.0,0.37,0.48,0.55,0.6,0.53,0.64,0.35,0.38,0.97
kwave.csv,0.45,0.66,0.84,0.63,0.6,0.23,0.33,0.4,0.72,0.55,0.17,0.11,0.32,0.38,0.27,0.15,0.22,0.38,0.25
libarchive.csv,0.46,0.5,0.42,0.44,0.46,0.48,0.55,0.47,0.68,0.37,0.62,0.71,0.68,0.61,0.45,0.62,0.39,0.95,0.53
linux-ntfs.csv,0.39,0.37,0.29,0.13,0.35,0.43,0.46,0.4,0.83,0.2,0.41,0.74,0.57,0.41,0.52,1.0,0.19,0.54,0.53
lsb.csv,0.51,0.64,0.52,0.98,0.54,0.52,0.61,0.62,0.93,0.63,0.58,0.7,0.66,0.42,0.68,0.6,0.51,0.59,0.52
mp-rechnungs-und-kundenverwaltung.csv,0.21,0.62,0.29,0.0,0.47,0.16,0.07,0.21,0.54,0.2,0.17,0.57,0.95,0.26,0.46,0.44,0.15,0.24,0.29
qcad2.csv,0.46,0.0,0.48,0.62,0.0,0.53,0.88,0.48,0.37,0.54,0.58,0.67,0.59,0.55,0.47,0.56,0.48,0.0,0.59
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stemkit.csv,0.1,0.01,0.0,0.57,0.01,0.05,0.07,0.32,0.0,1.0,0.06,0.05,0.05,0.02,0.0,0.05,0.0,0.0,0.0
xinity.csv,0.52,0.04,0.07,0.0,0.04,0.37,0.37,0.49,0.7,0.54,0.46,0.17,0.36,0.94,0.27,0.0,0.14,0.14,0.2
