,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.45,0.55,0.95,0.53,0.57,0.08,0.52,0.97,0.39,0.72,0.25,0.79,0.74,0.94,0.44,0.29
biodwh.csv,0.05,0.05,0.33,0.16,0.12,0.0,0.2,0.27,0.02,0.2,0.02,0.26,0.0,0.18,0.01,0.17
bloodycore.csv,0.97,0.41,0.81,0.24,0.28,0.0,0.07,0.13,0.16,0.75,0.22,0.08,0.16,0.15,0.08,0.05
blue-c.csv,0.6,0.59,0.98,0.38,0.58,0.12,0.52,0.85,0.76,0.22,0.44,0.63,0.42,0.49,0.56,0.98
etics.csv,0.05,0.09,0.17,0.17,0.18,0.0,0.38,0.6,0.04,0.09,0.15,0.21,0.26,0.51,0.08,0.17
flexpay.csv,0.03,0.41,0.0,0.39,0.7,0.88,0.59,0.24,0.44,0.36,0.73,0.76,0.26,0.48,0.62,0.12
flylegacy.csv,0.54,0.36,0.76,0.42,0.94,0.56,0.79,0.74,0.41,0.27,0.53,0.5,0.63,0.55,0.97,0.73
ftm.csv,0.3,0.14,0.17,0.13,0.14,0.0,0.04,0.08,0.08,0.12,0.11,0.39,0.11,0.04,0.37,0.05
gzigzag.csv,0.16,0.32,0.14,0.41,0.31,0.0,0.62,0.6,0.18,0.11,0.24,0.21,0.32,0.56,0.48,0.2
img-browse-sort.csv,0.53,0.32,0.29,0.49,0.47,0.08,0.14,0.45,0.64,0.47,0.49,0.24,0.53,0.39,0.35,0.12
jcache.csv,0.75,0.86,0.48,0.5,0.74,1.0,0.57,0.33,0.82,0.45,0.8,0.68,0.84,0.34,0.21,0.17
jguard.csv,0.38,0.68,0.12,0.57,0.55,0.16,0.34,0.88,0.25,0.47,0.18,0.79,0.58,0.45,0.99,0.17
ppcboot.csv,0.93,0.86,0.62,0.87,0.71,1.0,0.86,0.99,0.98,0.27,0.98,0.74,0.89,0.62,0.86,1.0
qdvdauthor.csv,0.97,0.45,0.98,0.42,0.41,0.0,0.23,0.44,0.48,0.78,0.4,0.26,0.42,0.45,0.76,0.95
reactos-mirror.csv,0.26,0.64,0.98,0.59,0.43,0.0,0.21,0.68,0.54,1.0,0.56,0.45,0.53,0.35,0.21,0.27
unbvision.csv,0.45,0.59,0.55,0.57,0.25,0.04,0.45,0.83,0.27,0.54,0.24,0.58,0.32,0.66,0.23,0.98
