,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.85,0.7,0.57,0.56,0.43
encog-java.csv,0.42,0.87,1.0,0.73,0.78
h2database.csv,0.49,0.38,0.89,0.45,0.77
jaql.csv,0.73,0.56,0.62,0.42,0.62
raven-monitoring.csv,0.68,0.82,0.49,0.7,0.97
