,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.4,0.46,0.43,0.49,0.68
encog-java.csv,0.58,0.97,0.0,0.97,0.73
h2database.csv,0.57,0.56,0.89,0.42,0.88
jaql.csv,0.36,0.4,0.46,0.47,0.48
raven-monitoring.csv,0.57,0.58,0.5,0.66,0.97
