,recall,precision,pf,wins
ardour.csv,0.685,0.585,0.255,12
cornerstone.csv,0.365,0.685,0.11499999999999999,14
emeraldemu.csv,0.435,0.75,0.12,16
grafx2.csv,0.695,0.52,0.435,6
jahshakafx.csv,0.63,0.655,0.22,15
kindb.csv,0.65,0.625,0.275,13
maya-work-in-progress.csv,0.86,0.475,0.585,3
netatalk.csv,0.77,0.485,0.45499999999999996,5
novembre.csv,0.52,0.575,0.305,8
ns-3.csv,0.7050000000000001,0.48,0.6699999999999999,0
nullc.csv,0.675,0.525,0.38,7
open-beos.csv,0.765,0.58,0.43,9
planeshift.csv,0.815,0.48,0.66,1
plee-the-bear.csv,0.67,0.51,0.53,2
reaper-ecad.csv,0.22999999999999998,0.855,0.01,17
sbml.csv,0.78,0.485,0.525,4
unimrcp.csv,0.7050000000000001,0.545,0.315,10
unladen-swallow.csv,0.41,0.64,0.185,11
