,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.97,0.61,0.35,0.55,0.38,0.48,0.46,0.61,0.63,0.48,0.58,0.24
codesmith.csv,0.59,0.66,0.35,0.61,0.64,0.49,0.58,0.67,0.62,0.39,0.58,1.0
icescrum.csv,0.56,0.46,0.39,0.27,0.5,0.26,0.51,0.62,0.69,0.21,1.0,0.07
ingex.csv,0.27,0.21,0.57,0.16,0.33,0.17,0.39,0.94,0.37,0.36,0.41,0.17
jrefactory.csv,0.55,0.49,1.0,0.58,0.5,0.62,0.53,0.09,0.5,0.49,0.54,0.5
jsecurity.csv,0.2,0.28,0.24,0.92,0.2,0.39,0.29,0.58,0.0,0.0,0.13,0.1
libopenmetaverse.csv,0.5,0.55,0.35,0.44,0.45,1.0,0.5,0.5,0.37,0.45,0.46,0.61
lite.csv,0.27,0.31,0.31,0.16,0.23,0.48,0.31,0.25,1.0,0.31,0.64,0.11
mobicents.csv,0.44,0.58,0.43,0.46,0.55,0.45,0.98,0.49,0.43,0.11,0.46,0.27
opendvr.csv,0.5,0.54,0.48,0.51,0.59,0.38,0.49,0.66,0.3,0.96,0.56,0.37
openefm.csv,0.62,0.93,0.4,0.46,0.51,0.51,0.47,0.42,0.38,0.21,0.68,0.56
sidekar.csv,0.68,0.5,0.54,0.74,1.0,0.54,0.62,0.63,0.65,0.45,0.77,0.33
