,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.97,0.58,0.31,0.54,0.33,0.47,0.42,0.66,0.8,0.45,0.53,0.2
codesmith.csv,0.73,0.7,0.35,0.64,0.77,0.47,0.62,0.83,0.93,0.36,0.74,1.0
icescrum.csv,0.52,0.42,0.35,0.23,0.45,0.22,0.47,0.62,0.73,0.18,1.0,0.06
ingex.csv,0.23,0.18,0.55,0.13,0.28,0.14,0.35,0.93,0.33,0.32,0.37,0.14
jrefactory.csv,0.62,0.61,1.0,0.64,0.66,0.69,0.55,0.07,0.53,0.45,0.58,0.59
jsecurity.csv,0.17,0.24,0.2,0.9,0.17,0.36,0.25,0.59,0.0,0.0,0.11,0.08
libopenmetaverse.csv,0.79,0.73,0.76,0.69,0.53,1.0,0.72,0.9,0.47,0.45,0.47,0.67
lite.csv,0.23,0.27,0.27,0.13,0.19,0.5,0.27,0.21,1.0,0.27,0.63,0.09
mobicents.csv,0.41,0.55,0.41,0.44,0.55,0.42,0.97,0.45,0.4,0.09,0.42,0.23
opendvr.csv,0.5,0.52,0.45,0.49,0.59,0.33,0.49,0.66,0.27,0.95,0.63,0.34
openefm.csv,0.64,0.91,0.37,0.41,0.47,0.56,0.43,0.38,0.33,0.18,0.79,0.58
sidekar.csv,0.82,0.48,0.65,0.82,1.0,0.75,0.74,0.72,0.87,0.41,0.95,0.3
