,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.98,0.58,0.41,0.34,0.48,0.49,0.5,0.51,0.44,0.42,0.61,0.31
codesmith.csv,0.41,0.53,0.39,0.35,0.72,0.51,0.58,0.57,0.47,0.32,0.51,1.0
icescrum.csv,0.54,0.44,0.46,0.24,0.6,0.31,0.54,0.54,0.5,0.24,1.0,0.12
ingex.csv,0.22,0.27,0.62,0.18,0.42,0.21,0.44,0.96,0.36,0.31,0.41,0.25
jrefactory.csv,0.38,0.4,1.0,0.31,0.63,0.62,0.53,0.09,0.34,0.43,0.45,0.61
jsecurity.csv,0.19,0.36,0.3,0.95,0.28,0.41,0.34,0.5,0.0,0.0,0.17,0.14
libopenmetaverse.csv,0.4,0.46,0.63,0.26,0.54,1.0,0.59,0.54,0.25,0.33,0.39,0.68
lite.csv,0.3,0.37,0.4,0.19,0.31,0.49,0.39,0.28,1.0,0.34,0.59,0.15
mobicents.csv,0.35,0.54,0.46,0.25,0.6,0.48,0.98,0.46,0.32,0.15,0.43,0.36
opendvr.csv,0.36,0.47,0.53,0.3,0.64,0.44,0.5,0.59,0.24,0.98,0.47,0.44
openefm.csv,0.45,0.95,0.44,0.39,0.58,0.51,0.49,0.42,0.38,0.22,0.58,0.63
sidekar.csv,0.48,0.42,0.6,0.43,1.0,0.61,0.63,0.53,0.46,0.38,0.65,0.39
