,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.37,0.6,0.3,0.7,0.48,0.57,0.42,0.64,1.0,0.72,0.38,0.78,0.86,0.26,0.5,0.43
beast-mcmc.csv,1.0,0.69,0.22,0.93,0.73,0.64,0.5,0.68,0.35,0.75,0.5,0.83,0.94,0.38,0.35,0.67
bigdata.csv,0.46,0.63,0.27,0.62,0.52,0.56,0.44,0.46,0.0,0.68,0.52,0.84,0.99,0.6,0.29,0.6
cuberok.csv,0.33,0.64,0.29,0.75,0.51,0.53,1.0,0.59,0.5,0.71,0.48,0.82,0.91,0.26,0.3,0.43
exist.csv,0.43,0.66,0.37,0.84,0.5,0.69,0.38,0.55,0.39,0.99,0.6,0.89,0.91,0.38,0.21,0.55
icescrum.csv,0.58,0.7,0.38,0.93,0.8,0.72,0.47,0.7,0.47,0.68,1.0,0.88,0.96,0.26,0.33,1.0
jbasic.csv,0.46,0.69,0.14,0.74,0.43,0.6,0.73,1.0,0.35,0.62,0.6,0.79,0.9,0.27,0.31,0.6
jrefactory.csv,0.4,1.0,0.19,0.65,0.57,0.61,0.31,0.71,0.2,0.61,0.25,0.77,0.92,0.39,0.26,0.83
jsecurity.csv,0.35,0.5,1.0,0.68,0.47,0.61,0.47,0.5,0.45,0.55,0.56,0.73,0.83,0.64,0.4,0.5
libopenmetaverse.csv,0.26,0.54,0.23,0.72,1.0,0.55,0.42,0.57,0.24,0.58,0.55,0.81,0.87,0.49,0.26,0.48
mobicents.csv,0.39,0.46,0.2,0.64,0.44,0.99,0.48,0.65,0.21,0.6,0.44,0.81,0.86,0.41,0.3,0.3
opendvr.csv,0.21,0.58,0.22,0.63,0.44,0.46,0.39,0.44,0.58,0.49,0.67,0.81,0.88,0.55,1.0,0.34
power-architect.csv,0.24,0.61,0.24,0.68,0.51,0.52,0.39,0.36,0.33,0.56,0.54,1.0,0.89,0.65,0.3,0.38
sidekar.csv,0.32,0.51,0.29,1.0,0.49,0.54,0.0,0.57,0.36,0.59,0.67,0.77,0.88,0.65,0.33,0.57
wheat.csv,0.45,0.35,0.17,0.55,0.41,0.49,0.33,0.71,0.21,0.39,1.0,0.76,0.87,0.72,0.34,0.5
wsmt.csv,0.14,0.0,0.29,0.5,0.4,0.49,0.4,0.0,0.0,0.33,0.5,0.67,0.89,1.0,0.19,1.0
