,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.62,0.39,0.44,0.92,0.61,0.56,0.47,0.47
archive-crawler.csv,0.71,0.74,0.6,0.55,0.73,0.55,0.5,0.48
jcae.csv,0.0,0.88,0.0,0.75,0.9,0.91,0.88,0.68
openmalaria.csv,0.44,0.3,0.42,0.53,0.33,0.43,0.32,0.41
popeye-chess.csv,0.53,0.61,0.57,0.49,0.35,0.6,0.44,0.39
rhex.csv,0.91,0.8,0.5,0.67,0.79,0.95,0.56,0.93
rocrail.csv,0.86,0.88,0.6,0.88,0.73,0.68,0.56,0.7
truevision.csv,0.72,0.35,0.51,0.47,0.4,0.87,0.61,0.46
